title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
MATHEUS DONELLI RENOVA COM O TIMÃO! ✍🏽 #VaiCorinthians #Shorts,hSQHEikjKYc,"No Timão desde 2011, o #FilhoDoTerrão renovou seu contrato até junho de 2028!

Vamos juntos, Donelli! 👊🏽

Já se inscreveu na Corinthians TV? Então inscreva-se e confira tudo que acontece no dia a dia do Timão!

________________________

00:00 Introdução 
01:00 Se inscreva no canal",2024-06-17T20:20:33Z,2024-06-18 18:08:58.055591,2215,13950,95,"{'default': {'url': 'https://i.ytimg.com/vi/hSQHEikjKYc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hSQHEikjKYc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hSQHEikjKYc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/hSQHEikjKYc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/hSQHEikjKYc/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Hoje é dia de torcer pelas Brabas no Brasileirão Feminino!💜 #RespeitaAsMinas #VaiCorinthians #Shorts,U5-EKIZArAY,"Já se inscreveu na Corinthians TV? Então inscreva-se e confira tudo que acontece no dia a dia do Timão!

________________________

00:00 Introdução 
01:00 Se inscreva no canal",2024-06-17T15:00:32Z,2024-06-18 18:08:58.055591,526,3987,15,"{'default': {'url': 'https://i.ytimg.com/vi/U5-EKIZArAY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/U5-EKIZArAY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/U5-EKIZArAY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/U5-EKIZArAY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/U5-EKIZArAY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA PÓS-JOGO | Corinthians x São Paulo | Brasileirão 2024,zLa4sQdUAXE,"António Oliveira fala após a partida entre Corinthians e São Paulo pelo Brasileirão 2024. Acompanhe aqui na Corinthians TV!

Já se inscreveu na Corinthians TV? Então inscreva-se e confira tudo que acontece no dia a dia do Timão!",2024-06-16T22:21:16Z,2024-06-18 18:08:58.055591,3634,44497,211,"{'default': {'url': 'https://i.ytimg.com/vi/zLa4sQdUAXE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zLa4sQdUAXE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zLa4sQdUAXE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/zLa4sQdUAXE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/zLa4sQdUAXE/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
DIA DE CORINTHIANS | Corinthians x São Paulo | Brasileirão 2024 (PRÉ-JOGO + AO VIVO),4e9TNC8COuE,"O Corinthians entra em campo pela nona rodada do Campeonato Brasileiro, contra o São Paulo, e a Corinthians TV repagina a sua experiência de matchday para a Fiel! Confira pré-jogo, narração ao vivo e entrevistas exclusivas com a equipe do Canal Vilinha, a reportagem de Ivan Andrade e nosso apresentador Cleiton Gamarra. VAI CORINTHIANS!

Já se inscreveu na Corinthians TV? Então inscreva-se e confira tudo que acontece no dia a dia do Timão!",2024-06-16T21:21:44Z,2024-06-18 18:08:58.055591,5994,124363,15,"{'default': {'url': 'https://i.ytimg.com/vi/4e9TNC8COuE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4e9TNC8COuE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4e9TNC8COuE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4e9TNC8COuE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4e9TNC8COuE/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"É DIA DE CLÁSSICO, É DIA DE MAJESTOSO!!! 👑",z_F2BHOVQUs,"VAMOS, CORINTHIANS!!! 🏴🏳️

#SCCPxSAO
#VaiCorinthians",2024-06-16T13:00:53Z,2024-06-18 18:08:58.055591,636,4936,15,"{'default': {'url': 'https://i.ytimg.com/vi/z_F2BHOVQUs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/z_F2BHOVQUs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/z_F2BHOVQUs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/z_F2BHOVQUs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/z_F2BHOVQUs/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Brabas seguem na preparação para o retorno do Brasileirão!,MQd28mFrn8s,"Depois da parada em decorrência da Data FIFA, chegou a hora das Brabas voltarem a campo! Na segunda, elas enfrentam o Red Bull Bragantino em partida válida pelo Brasileirão e o técnico Lucas Piccinato concede entrevista exclusiva para a Corinthians TV.

Já se inscreveu na Corinthians TV? Então inscreva-se e confira tudo que acontece no dia a dia do Timão!

________________________

00:00 Introdução 
01:00 Se inscreva no canal",2024-06-15T17:46:44Z,2024-06-18 18:08:58.055591,720,4821,29,"{'default': {'url': 'https://i.ytimg.com/vi/MQd28mFrn8s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/MQd28mFrn8s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/MQd28mFrn8s/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/MQd28mFrn8s/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/MQd28mFrn8s/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Timão fecha preparação para o Majestoso!,L6sDG26kzSI,"Já se inscreveu na Corinthians TV? Então inscreva-se e confira tudo que acontece no dia a dia do Timão!

________________________

00:00 Introdução 
01:00 Se inscreva no canal",2024-06-15T16:27:27Z,2024-06-18 18:08:58.055591,2408,20782,168,"{'default': {'url': 'https://i.ytimg.com/vi/L6sDG26kzSI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/L6sDG26kzSI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/L6sDG26kzSI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/L6sDG26kzSI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/L6sDG26kzSI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Timão trabalha organização ofensiva e defensiva para o clássico!,08PLZChF3gQ,"O Timão segue trabalhando firme para o próximo desafio do Campeonato Brasileiro. Na manhã desta sexta-feira (14), no CT Dr. Joaquim Grava, o Corinthians concluiu mais um treino voltado ao clássico contra o São Paulo.

Os comandados do técnico António Oliveira abriram o dia na academia e concluíram o aquecimento no gramado. Após isso, o treinador corinthiano aplicou dois trabalhos setoriais com o elenco: organização ofensiva com finalizações e um exercício defensivo. Uma atividade tática de enfrentamento também foi aplicada com o plantel.

Já se inscreveu na Corinthians TV? Então inscreva-se e confira tudo que acontece no dia a dia do Timão!

________________________

00:00 Introdução 
01:00 Se inscreva no canal",2024-06-14T17:44:11Z,2024-06-18 18:08:58.055591,2050,15209,136,"{'default': {'url': 'https://i.ytimg.com/vi/08PLZChF3gQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/08PLZChF3gQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/08PLZChF3gQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/08PLZChF3gQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/08PLZChF3gQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Timão Sub-20 pronto para a última rodada da primeira fase do Paulistão!,F4n1nLvmGU4,"Os Filhos do Terrão estão prontos para a última rodada do Paulistão Sub-20! O Timãozinho aproveitou as duas semanas sem Brasileirão para intensificar os treinos e encerra a sua participação na primeira fase buscando a liderança frente ao São Bernardo. Confira como foram as atividades!

Já se inscreveu na Corinthians TV? Então inscreva-se e confira tudo que acontece no dia a dia do Timão!

________________________

00:00 Introdução 
01:00 Se inscreva no canal",2024-06-13T22:12:54Z,2024-06-18 18:08:58.055591,479,2754,8,"{'default': {'url': 'https://i.ytimg.com/vi/F4n1nLvmGU4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/F4n1nLvmGU4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/F4n1nLvmGU4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/F4n1nLvmGU4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/F4n1nLvmGU4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Timão segue com os treinos focado no Majestoso!,lZ5uzW33_8A,"Nesta quinta-feira (13), o Coringão realizou atividades na academia e no campo, dando continuidade à preparação para o Majestoso do próximo domingo.

Já se inscreveu na Corinthians TV? Então inscreva-se e confira tudo que acontece no dia a dia do Timão!

________________________

00:00 Introdução 
01:00 Se inscreva no canal",2024-06-13T17:56:03Z,2024-06-18 18:08:58.055591,1827,14172,148,"{'default': {'url': 'https://i.ytimg.com/vi/lZ5uzW33_8A/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lZ5uzW33_8A/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lZ5uzW33_8A/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/lZ5uzW33_8A/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/lZ5uzW33_8A/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
