title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
AO VIVO E COM IMAGENS | Cruzeiro x Corinthians | BRASILEIRÃO SUB-20,J6j3WHFIEF4,"Nesta terça (18/06), o canal oficial do @cruzeiro transmite, ao vivo e com imagens, o jogão entre Cruzeiro x Corinthians, válido pela décima rodada do Campeonato Brasileiro Sub-20.

Nossa transmissão começa às 15h45 e a bola rola às 16h.

Aproveite para seguir o nosso novo canal de informações no WhastApp:
https://whatsapp.com/channel/0029Va9PmAfGE56mA33fM83p",2024-06-18T05:31:37Z,2024-06-18 18:11:52.720827,107,0,0,"{'default': {'url': 'https://i.ytimg.com/vi/J6j3WHFIEF4/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/J6j3WHFIEF4/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/J6j3WHFIEF4/hqdefault_live.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/J6j3WHFIEF4/sddefault_live.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/J6j3WHFIEF4/maxresdefault_live.jpg', 'width': 1280, 'height': 720}}"
✍️ MP🔟 FICA! Matheus Pereira assina contrato definitivo com o Cruzeiro!,450VC9fyDBg,"O camisa 10 Matheus Pereira assinou o contrato definitivo com o Cruzeiro, válido até junho de 2026. Vamos juntos, MP! 

★ Imagens e edição: Marco Ferraz 

★  SEJA SÓCIO 5 ESTRELAS E APOIE O CRUZEIRO NESTA NOVA FASE:
http://www.socio5estrelas.com.br​​

================================

SIGA O CRUZEIRO NAS REDES SOCIAIS: 

• Twitter: https://twitter.com/Cruzeiro
• Facebook: https://pt-br.facebook.com/cruzeirooficial/
• Instagram: https://www.instagram.com/cruzeiro/
• Youtube: https://www.youtube.com/@cruzeiro
• TikTok: https://www.tiktok.com/@cruzeiro
• Linkedin: https://br.linkedin.com/company/cruzeiro-esporte-clube",2024-06-17T20:08:30Z,2024-06-18 18:11:52.720827,5970,22589,340,"{'default': {'url': 'https://i.ytimg.com/vi/450VC9fyDBg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/450VC9fyDBg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/450VC9fyDBg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/450VC9fyDBg/sddefault.jpg', 'width': 640, 'height': 480}}"
🦊⚽ MELHORES MOMENTOS | Vasco x Cruzeiro,7VZ_ZsXQ6P0,"Confira os #melhoresmomentos do empate entre Vasco e Cruzeiro, em São Januário, pelo Brasileirão, neste domingo (16/6). 

★ Imagens e edição: Marco Ferraz 

★  SEJA SÓCIO 5 ESTRELAS E APOIE O CRUZEIRO NESTA NOVA FASE:
http://www.socio5estrelas.com.br​​

================================

SIGA O CRUZEIRO NAS REDES SOCIAIS: 

• Twitter: https://twitter.com/Cruzeiro
• Facebook: https://pt-br.facebook.com/cruzeirooficial/
• Instagram: https://www.instagram.com/cruzeiro/
• Youtube: https://www.youtube.com/@cruzeiro
• TikTok: https://www.tiktok.com/@cruzeiro
• Linkedin: https://br.linkedin.com/company/cruzeiro-esporte-clube

#betfair",2024-06-17T02:22:38Z,2024-06-18 18:11:52.720827,293,1435,32,"{'default': {'url': 'https://i.ytimg.com/vi/7VZ_ZsXQ6P0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/7VZ_ZsXQ6P0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/7VZ_ZsXQ6P0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/7VZ_ZsXQ6P0/sddefault.jpg', 'width': 640, 'height': 480}}"
🦊🎙️ ENTREVISTA| FERNANDO SEABRA | Vasco x Cruzeiro,7Nj21i5JZTo,"Não esqueça de deixar seu like. Ele ajuda muito pra que os nossos vídeos possam chegar para muito mais gente da nossa Nação Azul! E se ainda não é inscrito aqui, bora se inscrever!

★ Imagens e edição: Marco Ferraz/ Cruzeiro

★  SEJA SÓCIO 5 ESTRELAS E APOIE O CRUZEIRO NESTA NOVA FASE:
http://www.socio5estrelas.com.br​​

================================

SIGA O CRUZEIRO NAS REDES SOCIAIS: 

• Twitter: https://twitter.com/Cruzeiro
• Facebook: https://pt-br.facebook.com/cruzeirooficial/
• Instagram: https://www.instagram.com/cruzeiro/
• Youtube: https://www.youtube.com/@cruzeiro
• TikTok: https://www.tiktok.com/@cruzeiro
• Linkedin: https://br.linkedin.com/company/cruzeiro-esporte-clube",2024-06-17T01:04:18Z,2024-06-18 18:11:52.720827,697,4150,130,"{'default': {'url': 'https://i.ytimg.com/vi/7Nj21i5JZTo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/7Nj21i5JZTo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/7Nj21i5JZTo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/7Nj21i5JZTo/sddefault.jpg', 'width': 640, 'height': 480}}"
"🎙️🦊 ZONA MISTA | Vasco x Cruzeiro | João Pedro, Vitinho, João Marcelo e Anderson",Kk7u9JirxAc,"Não esqueça de deixar seu like. Ele ajuda muito pra que os nossos vídeos possam chegar para muito mais gente da nossa Nação Azul! E se ainda não é inscrito aqui, bora se inscrever!

★ Imagens e edição: 

★  SEJA SÓCIO 5 ESTRELAS E APOIE O CRUZEIRO NESTA NOVA FASE:
http://www.socio5estrelas.com.br​​

================================

SIGA O CRUZEIRO NAS REDES SOCIAIS: 

• Twitter: https://twitter.com/Cruzeiro
• Facebook: https://pt-br.facebook.com/cruzeirooficial/
• Instagram: https://www.instagram.com/cruzeiro/
• Youtube: https://www.youtube.com/@cruzeiro
• TikTok: https://www.tiktok.com/@cruzeiro
• Linkedin: https://br.linkedin.com/company/cruzeiro-esporte-clube

#betfair",2024-06-17T00:49:22Z,2024-06-18 18:11:52.720827,617,2711,35,"{'default': {'url': 'https://i.ytimg.com/vi/Kk7u9JirxAc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Kk7u9JirxAc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Kk7u9JirxAc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Kk7u9JirxAc/sddefault.jpg', 'width': 640, 'height': 480}}"
"✈️ PARTIU, RIO DE JANEIRO! | Cruzeiro viaja para enfrentar o Vasco fora de casa!",nrr631yTLA8,"Vem ver como foi a nossa viagem para o RJ no Partiu! 

★ Imagens e edição: Marco Ferraz

★  SEJA SÓCIO 5 ESTRELAS E APOIE O CRUZEIRO NESTA NOVA FASE:
http://www.socio5estrelas.com.br​​

================================

SIGA O CRUZEIRO NAS REDES SOCIAIS: 

• Twitter: https://twitter.com/Cruzeiro
• Facebook: https://pt-br.facebook.com/cruzeirooficial/
• Instagram: https://www.instagram.com/cruzeiro/
• Youtube: https://www.youtube.com/@cruzeiro
• TikTok: https://www.tiktok.com/@cruzeiro
• Linkedin: https://br.linkedin.com/company/cruzeiro-esporte-clube

#betfair",2024-06-16T12:51:48Z,2024-06-18 18:11:52.720827,3791,25589,178,"{'default': {'url': 'https://i.ytimg.com/vi/nrr631yTLA8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nrr631yTLA8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nrr631yTLA8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/nrr631yTLA8/sddefault.jpg', 'width': 640, 'height': 480}}"
🦊💙 BASTIDORES | Cruzeiro vence o Cuiabá em casa e conquista pontos importantes no Brasileirão!,SvaP9bza6uM,"Vem ver os #Bastidores da vitória do Cruzeiro por 2 a 1, no Mineirão! Não esqueça de deixar o seu like e compartilhar o link pra geral. 

★ Imagens e edição: Marco Ferraz 

★  SEJA SÓCIO 5 ESTRELAS E APOIE O CRUZEIRO NESTA NOVA FASE:
http://www.socio5estrelas.com.br​​

================================

SIGA O CRUZEIRO NAS REDES SOCIAIS: 

• Twitter: https://twitter.com/Cruzeiro
• Facebook: https://pt-br.facebook.com/cruzeirooficial/
• Instagram: https://www.instagram.com/cruzeiro/
• Youtube: https://www.youtube.com/@cruzeiro
• TikTok: https://www.tiktok.com/@cruzeiro
• Linkedin: https://br.linkedin.com/company/cruzeiro-esporte-clube

#betfair",2024-06-14T21:01:07Z,2024-06-18 18:11:52.720827,8241,62942,232,"{'default': {'url': 'https://i.ytimg.com/vi/SvaP9bza6uM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SvaP9bza6uM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SvaP9bza6uM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/SvaP9bza6uM/sddefault.jpg', 'width': 640, 'height': 480}}"
⚽ GOLS DO JOGO | Matheus Pereira e Rafa Silva fazem os gols da vitória do Cruzeiro sobre o Cuiabá!,ro_6Seh3qpc,"Os lances de gol do jogo entre Cruzeiro x Cuiabá, no Mineirão, você confere aqui! 

★ Imagens e edição: Marco Ferraz 

★  SEJA SÓCIO 5 ESTRELAS E APOIE O CRUZEIRO NESTA NOVA FASE:
http://www.socio5estrelas.com.br​​

================================

SIGA O CRUZEIRO NAS REDES SOCIAIS: 

• Twitter: https://twitter.com/Cruzeiro
• Facebook: https://pt-br.facebook.com/cruzeirooficial/
• Instagram: https://www.instagram.com/cruzeiro/
• Youtube: https://www.youtube.com/@cruzeiro
• TikTok: https://www.tiktok.com/@cruzeiro
• Linkedin: https://br.linkedin.com/company/cruzeiro-esporte-clube

#betfair",2024-06-14T13:17:11Z,2024-06-18 18:11:52.720827,463,2411,13,"{'default': {'url': 'https://i.ytimg.com/vi/ro_6Seh3qpc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ro_6Seh3qpc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ro_6Seh3qpc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ro_6Seh3qpc/sddefault.jpg', 'width': 640, 'height': 480}}"
🦊⚽ MELHORES MOMENTOS |  Cruzeiro 2 x 1 Cuiabá,n-6Awa5M0m8,"Confira os #MelhoresMomentos da vitória do Cabuloso no Mineirão, pelo Brasileirão, nesta quinta-feira (13/6)! 

★ Imagens e edição: Marco Ferraz 

★  SEJA SÓCIO 5 ESTRELAS E APOIE O CRUZEIRO NESTA NOVA FASE:
http://www.socio5estrelas.com.br​​

================================

SIGA O CRUZEIRO NAS REDES SOCIAIS: 

• Twitter: https://twitter.com/Cruzeiro
• Facebook: https://pt-br.facebook.com/cruzeirooficial/
• Instagram: https://www.instagram.com/cruzeiro/
• Youtube: https://www.youtube.com/@cruzeiro
• TikTok: https://www.tiktok.com/@cruzeiro
• Linkedin: https://br.linkedin.com/company/cruzeiro-esporte-clube

#betfair",2024-06-14T13:00:26Z,2024-06-18 18:11:52.720827,936,7989,37,"{'default': {'url': 'https://i.ytimg.com/vi/n-6Awa5M0m8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/n-6Awa5M0m8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/n-6Awa5M0m8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/n-6Awa5M0m8/sddefault.jpg', 'width': 640, 'height': 480}}"
"🎙️🦊 ZONA MISTA | Cruzeiro x Cuiabá | William, Robert, Zé Ivaldo, Anderson, Lucas Silva",ho1n5VpYZ8I,"Veja a #ZonaMista com o time após o jogo entre Cruzeiro e Cuiabá, no Mineirão. 

★ Imagens e edição: Marco Ferraz e Gustavo Aleixo 

★  SEJA SÓCIO 5 ESTRELAS E APOIE O CRUZEIRO NESTA NOVA FASE:
http://www.socio5estrelas.com.br​​

================================

SIGA O CRUZEIRO NAS REDES SOCIAIS: 

• Twitter: https://twitter.com/Cruzeiro
• Facebook: https://pt-br.facebook.com/cruzeirooficial/
• Instagram: https://www.instagram.com/cruzeiro/
• Youtube: https://www.youtube.com/@cruzeiro
• TikTok: https://www.tiktok.com/@cruzeiro
• Linkedin: https://br.linkedin.com/company/cruzeiro-esporte-clube

#betfair",2024-06-14T12:47:04Z,2024-06-18 18:11:52.720827,1298,6891,56,"{'default': {'url': 'https://i.ytimg.com/vi/ho1n5VpYZ8I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ho1n5VpYZ8I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ho1n5VpYZ8I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ho1n5VpYZ8I/sddefault.jpg', 'width': 640, 'height': 480}}"
