title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
Gols da FlaSemana - 17/06,bUQoGeIFAAo,"Confira na FlaTV uma edição especial dos gols da semana nas categorias de base e no futebol masculino do Mengão.

Quer assistir a documentários especiais, programas exclusivos, jogos históricos e uma programação especial nova todo mês? Assine agora a 𝗙𝗹𝗮𝗧𝗩+ e viva muito mais Flamengo. Acesse https://flatvmais.com.br 

Inscreva-se na #FlaTV. Vídeos todos os dias!
Subscribe to Flamengo channel, a 40-million-fans nation. Join us!
----------
Com você o Mengão vai mais longe!
Seja sócio-torcedor: http://mengo.com.br

𝗦𝗶𝗴𝗮 𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗴𝗼 𝗻𝗮𝘀 𝗿𝗲𝗱𝗲𝘀:

𝗜𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺: https://www.instagram.com/flamengo
𝗧𝗶𝗸𝗧𝗼𝗸: https://www.tiktok.com/@flamengo
𝗧𝘄𝗶𝘁𝘁𝗲𝗿: https://twitter.com/Flamengo
𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://www.facebook.com/FlamengoOficial
𝗙𝗹𝗮𝗧𝗩+: https://flatvmais.com.br",2024-06-18T02:19:01Z,2024-06-18 18:09:41.246144,151,719,4,"{'default': {'url': 'https://i.ytimg.com/vi/bUQoGeIFAAo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bUQoGeIFAAo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bUQoGeIFAAo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/bUQoGeIFAAo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/bUQoGeIFAAo/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"No meio dos crias, um ""coroa"" chamava a atenção no treino desta segunda (17)",RCDf07ZSLC0,"Depois do empate com o Athletico-PR, basicamente apenas aqueles que não começaram jogando treinaram nesta segunda. No meio dos crias, um ""coroa"" chamava a atenção. Veja quem é nos canais #FlaTV!

👉 No Youtube: https://youtu.be/2lHmu3hUpHk?si=HZWXdgUPPvG4LZ2d
👉 Na FlaTV+: flatvmais.com.br
👉 Disponível também no Globoplay


Quer assistir a documentários especiais, programas exclusivos, jogos históricos e uma programação especial nova todo mês? Assine agora a 𝗙𝗹𝗮𝗧𝗩+ e viva muito mais Flamengo. Acesse https://flatvmais.com.br 

Inscreva-se na #FlaTV. Vídeos todos os dias!
Subscribe to Flamengo channel, a 40-million-fans nation. Join us!
----------
Com você o Mengão vai mais longe!
Seja sócio-torcedor: http://mengo.com.br

𝗦𝗶𝗴𝗮 𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗴𝗼 𝗻𝗮𝘀 𝗿𝗲𝗱𝗲𝘀:

𝗜𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺: https://www.instagram.com/flamengo
𝗧𝗶𝗸𝗧𝗼𝗸: https://www.tiktok.com/@flamengo
𝗧𝘄𝗶𝘁𝘁𝗲𝗿: https://twitter.com/Flamengo
𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://www.facebook.com/FlamengoOficial
𝗙𝗹𝗮𝗧𝗩+: https://flatvmais.com.br",2024-06-18T01:52:23Z,2024-06-18 18:09:41.246144,605,4424,5,"{'default': {'url': 'https://i.ytimg.com/vi/RCDf07ZSLC0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RCDf07ZSLC0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RCDf07ZSLC0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/RCDf07ZSLC0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/RCDf07ZSLC0/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"Confira o discurso do capitão Gerson, após o empate com o Athletico-PR pelo Brasileirão",K00a9K8KPwQ,"Só a #FlaTV pode te colocar dentro do vestiário do Flamengo pra assistir ao discurso do capitão Gerson, depois do empate com o Athletico-PR pelo Campeonato Brasileiro. Confere aí!

👉 No Youtube: https://youtu.be/B7xxJ8ABzW0
👉 Na FlaTV+: flatvmais.com.br
👉 Disponível também no Globoplay

Quer assistir a documentários especiais, programas exclusivos, jogos históricos e uma programação especial nova todo mês? Assine agora a 𝗙𝗹𝗮𝗧𝗩+ e viva muito mais Flamengo. Acesse https://flatvmais.com.br 

Inscreva-se na #FlaTV. Vídeos todos os dias!
Subscribe to Flamengo channel, a 40-million-fans nation. Join us!
----------
Com você o Mengão vai mais longe!
Seja sócio-torcedor: http://mengo.com.br

𝗦𝗶𝗴𝗮 𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗴𝗼 𝗻𝗮𝘀 𝗿𝗲𝗱𝗲𝘀:

𝗜𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺: https://www.instagram.com/flamengo
𝗧𝗶𝗸𝗧𝗼𝗸: https://www.tiktok.com/@flamengo
𝗧𝘄𝗶𝘁𝘁𝗲𝗿: https://twitter.com/Flamengo
𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://www.facebook.com/FlamengoOficial
𝗙𝗹𝗮𝗧𝗩+: https://flatvmais.com.br",2024-06-18T01:47:49Z,2024-06-18 18:09:41.246144,1210,6837,21,"{'default': {'url': 'https://i.ytimg.com/vi/K00a9K8KPwQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/K00a9K8KPwQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/K00a9K8KPwQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/K00a9K8KPwQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/K00a9K8KPwQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Como é bom ver um #GarotodoNinho brilhando intensamente!,NfXZ1nlYarI,"Como é bom ver um #GarotodoNinho brilhando intensamente! Somente nos Bastidores do empate com o Athletico-PR você tem a homenagem do time ao nosso cria Evertton Araújo. Assista com exclusividade nos canais #FlaTV!

👉 No Youtube: https://youtu.be/B7xxJ8ABzW0
👉 Na FlaTV+: flatvmais.com.br
👉 Disponível também no Globoplay

Quer assistir a documentários especiais, programas exclusivos, jogos históricos e uma programação especial nova todo mês? Assine agora a 𝗙𝗹𝗮𝗧𝗩+ e viva muito mais Flamengo. Acesse https://flatvmais.com.br 

Inscreva-se na #FlaTV. Vídeos todos os dias!
Subscribe to Flamengo channel, a 40-million-fans nation. Join us!
----------
Com você o Mengão vai mais longe!
Seja sócio-torcedor: http://mengo.com.br

𝗦𝗶𝗴𝗮 𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗴𝗼 𝗻𝗮𝘀 𝗿𝗲𝗱𝗲𝘀:

𝗜𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺: https://www.instagram.com/flamengo
𝗧𝗶𝗸𝗧𝗼𝗸: https://www.tiktok.com/@flamengo
𝗧𝘄𝗶𝘁𝘁𝗲𝗿: https://twitter.com/Flamengo
𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://www.facebook.com/FlamengoOficial
𝗙𝗹𝗮𝗧𝗩+: https://flatvmais.com.br",2024-06-18T01:45:30Z,2024-06-18 18:09:41.246144,1091,10096,15,"{'default': {'url': 'https://i.ytimg.com/vi/NfXZ1nlYarI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NfXZ1nlYarI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NfXZ1nlYarI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/NfXZ1nlYarI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/NfXZ1nlYarI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Um empate de tirar o ar e um cria salvando o domingo!,SBWxcsXZh6k,"Um empate de tirar o ar e um cria salvando o domingo! Os Bastidores do empate com o Athletico-PR já estão no ar! Senhoras e senhores, Evertton Araújo é o nome dele! Assista na #FlaTV! 

👉 No Youtube: https://youtu.be/B7xxJ8ABzW0
👉 Na FlaTV+: flatvmais.com.br
👉 Disponível também no Globoplay

Quer assistir a documentários especiais, programas exclusivos, jogos históricos e uma programação especial nova todo mês? Assine agora a 𝗙𝗹𝗮𝗧𝗩+ e viva muito mais Flamengo. Acesse https://flatvmais.com.br 

Inscreva-se na #FlaTV. Vídeos todos os dias!
Subscribe to Flamengo channel, a 40-million-fans nation. Join us!
----------
Com você o Mengão vai mais longe!
Seja sócio-torcedor: http://mengo.com.br

𝗦𝗶𝗴𝗮 𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗴𝗼 𝗻𝗮𝘀 𝗿𝗲𝗱𝗲𝘀:

𝗜𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺: https://www.instagram.com/flamengo
𝗧𝗶𝗸𝗧𝗼𝗸: https://www.tiktok.com/@flamengo
𝗧𝘄𝗶𝘁𝘁𝗲𝗿: https://twitter.com/Flamengo
𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://www.facebook.com/FlamengoOficial
𝗙𝗹𝗮𝗧𝗩+: https://flatvmais.com.br",2024-06-18T01:44:00Z,2024-06-18 18:09:41.246144,1194,7583,7,"{'default': {'url': 'https://i.ytimg.com/vi/SBWxcsXZh6k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SBWxcsXZh6k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SBWxcsXZh6k/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/SBWxcsXZh6k/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/SBWxcsXZh6k/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"Ayrton Lucas, Allan e Cebolinha avançam e Flamengo inicia preparação de olho no Bahia",2lHmu3hUpHk,"Após um empate heróico no último domingo (16), o Flamengo se reapresentou nesta segunda-feira (17) e iniciou a preparação para o confronto com o Bahia, na quinta-feira (20), pela décima rodada do Campeonato Brasileiro. Os jogadores Ayrton Lucas, Allan e Cebolinha apresentam progresso na recuperação de suas lesões. Assista ao treino de hoje.


Quer assistir a documentários especiais, programas exclusivos, jogos históricos e uma programação especial nova todo mês? Assine agora a 𝗙𝗹𝗮𝗧𝗩+ e viva muito mais Flamengo. Acesse https://flatvmais.com.br 

Inscreva-se na #FlaTV. Vídeos todos os dias!
Subscribe to Flamengo channel, a 40-million-fans nation. Join us!
----------
Com você o Mengão vai mais longe!
Seja sócio-torcedor: http://mengo.com.br

𝗦𝗶𝗴𝗮 𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗴𝗼 𝗻𝗮𝘀 𝗿𝗲𝗱𝗲𝘀:

𝗜𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺: https://www.instagram.com/flamengo
𝗧𝗶𝗸𝗧𝗼𝗸: https://www.tiktok.com/@flamengo
𝗧𝘄𝗶𝘁𝘁𝗲𝗿: https://twitter.com/Flamengo
𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://www.facebook.com/FlamengoOficial
𝗙𝗹𝗮𝗧𝗩+: https://flatvmais.com.br",2024-06-18T01:13:27Z,2024-06-18 18:09:41.246144,2355,15038,55,"{'default': {'url': 'https://i.ytimg.com/vi/2lHmu3hUpHk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2lHmu3hUpHk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2lHmu3hUpHk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/2lHmu3hUpHk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/2lHmu3hUpHk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Bastidores - Athletico-PR 1x1 Flamengo,B7xxJ8ABzW0,"Fala, Nação! No último domingo (16), em partida válida pela nona rodada do Campeonato Brasileiro, o Flamengo empatou com o Athletico-PR, na Arena da Baixada, por 1 a 1, com um gol marcado pelo volante Evertton Araújo aos 53 minutos do segundo tempo, de cabeça. Confira os bastidores da partida na FlaTV!

Quer assistir a documentários especiais, programas exclusivos, jogos históricos e uma programação especial nova todo mês? Assine agora a 𝗙𝗹𝗮𝗧𝗩+ e viva muito mais Flamengo. Acesse https://flatvmais.com.br 

Inscreva-se na #FlaTV. Vídeos todos os dias!
Subscribe to Flamengo channel, a 40-million-fans nation. Join us!
----------
Com você o Mengão vai mais longe!
Seja sócio-torcedor: http://mengo.com.br

𝗦𝗶𝗴𝗮 𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗴𝗼 𝗻𝗮𝘀 𝗿𝗲𝗱𝗲𝘀:

𝗜𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺: https://www.instagram.com/flamengo
𝗧𝗶𝗸𝗧𝗼𝗸: https://www.tiktok.com/@flamengo
𝗧𝘄𝗶𝘁𝘁𝗲𝗿: https://twitter.com/Flamengo
𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://www.facebook.com/FlamengoOficial
𝗙𝗹𝗮𝗧𝗩+: https://flatvmais.com.br",2024-06-18T00:32:19Z,2024-06-18 18:09:41.246144,4676,33318,171,"{'default': {'url': 'https://i.ytimg.com/vi/B7xxJ8ABzW0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/B7xxJ8ABzW0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/B7xxJ8ABzW0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/B7xxJ8ABzW0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/B7xxJ8ABzW0/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Flamengo vs INTZ - #CBLOL Academy ( AO VIVO ) - 17/06,OBZ4yS7akmw,"A FlaTV é a casa do eSports Rubro-Negro. Assista à partida entre Flamengo vs INTZ, válida pelo Campeonato Brasileiro de League of Legends. #GoFla #VamosFlamengo #cblol 


Quer assistir a documentários especiais, programas exclusivos, jogos históricos e uma programação especial nova todo mês? Assine agora a 𝗙𝗹𝗮𝗧𝗩+ e viva muito mais Flamengo. Acesse https://flatvmais.com.br 

Inscreva-se na #FlaTV. Vídeos todos os dias!
Subscribe to Flamengo channel, a 40-million-fans nation. Join us!
----------
Com você o Mengão vai mais longe!
Seja sócio-torcedor: http://mengo.com.br

𝗦𝗶𝗴𝗮 𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗴𝗼 𝗻𝗮𝘀 𝗿𝗲𝗱𝗲𝘀:

𝗜𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺: https://www.instagram.com/flamengo
𝗧𝗶𝗸𝗧𝗼𝗸: https://www.tiktok.com/@flamengo
𝗧𝘄𝗶𝘁𝘁𝗲𝗿: https://twitter.com/Flamengo
𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://www.facebook.com/FlamengoOficial
𝗙𝗹𝗮𝗧𝗩+: https://flatvmais.com.br",2024-06-17T22:30:18Z,2024-06-18 18:09:41.246144,745,5092,5,"{'default': {'url': 'https://i.ytimg.com/vi/OBZ4yS7akmw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/OBZ4yS7akmw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/OBZ4yS7akmw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/OBZ4yS7akmw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/OBZ4yS7akmw/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Mengão é campeão da Copa Rio Sub-17! #GarotosDoNinho #VamosFlamengo,quZpjUtTpjk,"Quer assistir a documentários especiais, programas exclusivos, jogos históricos e uma programação especial nova todo mês? Assine agora a 𝗙𝗹𝗮𝗧𝗩+ e viva muito mais Flamengo. Acesse https://flatvmais.com.br 

Inscreva-se na #FlaTV. Vídeos todos os dias!
Subscribe to Flamengo channel, a 40-million-fans nation. Join us!
----------
Com você o Mengão vai mais longe!
Seja sócio-torcedor: http://mengo.com.br

𝗦𝗶𝗴𝗮 𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗴𝗼 𝗻𝗮𝘀 𝗿𝗲𝗱𝗲𝘀:

𝗜𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺: https://www.instagram.com/flamengo
𝗧𝗶𝗸𝗧𝗼𝗸: https://www.tiktok.com/@flamengo
𝗧𝘄𝗶𝘁𝘁𝗲𝗿: https://twitter.com/Flamengo
𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://www.facebook.com/FlamengoOficial
𝗙𝗹𝗮𝗧𝗩+: https://flatvmais.com.br",2024-06-17T22:26:42Z,2024-06-18 18:09:41.246144,1429,12083,23,"{'default': {'url': 'https://i.ytimg.com/vi/quZpjUtTpjk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/quZpjUtTpjk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/quZpjUtTpjk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/quZpjUtTpjk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/quZpjUtTpjk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Comemorando com a família! ❤️🖤 #GarotosDoNinho #VamosFlamengo,rFIAXCZRaKc,"Quer assistir a documentários especiais, programas exclusivos, jogos históricos e uma programação especial nova todo mês? Assine agora a 𝗙𝗹𝗮𝗧𝗩+ e viva muito mais Flamengo. Acesse https://flatvmais.com.br 

Inscreva-se na #FlaTV. Vídeos todos os dias!
Subscribe to Flamengo channel, a 40-million-fans nation. Join us!
----------
Com você o Mengão vai mais longe!
Seja sócio-torcedor: http://mengo.com.br

𝗦𝗶𝗴𝗮 𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗴𝗼 𝗻𝗮𝘀 𝗿𝗲𝗱𝗲𝘀:

𝗜𝗻𝘀𝘁𝗮𝗴𝗿𝗮𝗺: https://www.instagram.com/flamengo
𝗧𝗶𝗸𝗧𝗼𝗸: https://www.tiktok.com/@flamengo
𝗧𝘄𝗶𝘁𝘁𝗲𝗿: https://twitter.com/Flamengo
𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://www.facebook.com/FlamengoOficial
𝗙𝗹𝗮𝗧𝗩+: https://flatvmais.com.br",2024-06-17T22:18:23Z,2024-06-18 18:09:41.246144,1064,7348,18,"{'default': {'url': 'https://i.ytimg.com/vi/rFIAXCZRaKc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rFIAXCZRaKc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rFIAXCZRaKc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/rFIAXCZRaKc/sddefault.jpg', 'width': 640, 'height': 480}}"
