title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
JORNADA ESPORTIVA | Gurias Coloradas x Botafogo - 17/06/2024,iyryKdaNboQ,"Acompanhe a transmissão #MaisVermelha das Gurias Coloradas x Botafogo pelo Campeonato Brasileiro feminino no Canal do Inter! VAAAAMOS, COLORADO!
------------------------
Gostou do vídeo? Então confira esse e muitos outros conteúdos no Mundo Colorado! 

------------------------
:: Mundo Colorado - https://www.socio.internacional.com.br/
:: Site - http://www.internacional.com.br
:: Facebook - http://www.facebook.com/SCInternacional
:: Twitter - http://www.twitter.com/SCInternacional
:: Instagram - http://www.instagram.com/SCInternacional
:: Rádio - http://www.internacional.com.br/radiocolorada

*** Somos o canal oficial do Sport Club Internacional no Youtube. Acompanhe transmissões ao vivo, vídeos e conteúdos exclusivos. ***

Produção e realização:  Comunicação Sport Club Internacional",2024-06-17T20:20:21Z,2024-06-18 18:12:38.399350,133,1328,1,"{'default': {'url': 'https://i.ytimg.com/vi/iyryKdaNboQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/iyryKdaNboQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/iyryKdaNboQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/iyryKdaNboQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/iyryKdaNboQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
JORNADA ESPORTIVA | Inter x Vitória - 16/06/2024,vqOLoOCyKqY,"Acompanhe a transmissão #MaisVermelha de Inter x Vitória pelo Campeonato Brasileiro no Canal do Inter! VAAAAMOS, COLORADO!
------------------------
Gostou do vídeo? Então confira esse e muitos outros conteúdos no Mundo Colorado! 

------------------------
:: Mundo Colorado - https://www.socio.internacional.com.br/
:: Site - http://www.internacional.com.br
:: Facebook - http://www.facebook.com/SCInternacional
:: Twitter - http://www.twitter.com/SCInternacional
:: Instagram - http://www.instagram.com/SCInternacional
:: Rádio - http://www.internacional.com.br/radiocolorada

*** Somos o canal oficial do Sport Club Internacional no Youtube. Acompanhe transmissões ao vivo, vídeos e conteúdos exclusivos. ***

Produção e realização:  Comunicação Sport Club Internacional",2024-06-16T21:25:35Z,2024-06-18 18:12:38.399350,191,5326,14,"{'default': {'url': 'https://i.ytimg.com/vi/vqOLoOCyKqY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vqOLoOCyKqY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vqOLoOCyKqY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/vqOLoOCyKqY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/vqOLoOCyKqY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Programa do Inter | 14/06/2024,pKz2_LMqD98,"Noticiário esportivo com ênfase na rotina colorada, o Programa do Inter desta sexta-feira (14/06) repercute o empate do Clube do Povo contra o São Paulo, em Criciúma, e a vitória das Gurias Coloradas sobre o Avaí/Kindermann. Acompanhe para ficar por dentro, também, das últimas informações das categorias de base masculina e feminina!
------------------------
Gostou do vídeo? Então confira esse e muitos outros conteúdos no Mundo Colorado, a nova plataforma exclusiva de serviços, informações e entretenimento do Clube do Povo! 

------------------------
:: Mundo Colorado - https://www.socio.internacional.com.br/
:: Site - http://www.internacional.com.br
:: Facebook - http://www.facebook.com/SCInternacional
:: Twitter - http://www.twitter.com/SCInternacional
:: Instagram - http://www.instagram.com/SCInternacional
:: Rádio - http://www.internacional.com.br/radiocolorada

*** Somos o canal oficial do Sport Club Internacional no Youtube. Acompanhe transmissões ao vivo, vídeos e conteúdos exclusivos. ***

Produção e realização:  Comunicação Sport Club Internacional",2024-06-14T22:29:56Z,2024-06-18 18:12:38.399350,96,803,0,"{'default': {'url': 'https://i.ytimg.com/vi/pKz2_LMqD98/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pKz2_LMqD98/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pKz2_LMqD98/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/pKz2_LMqD98/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/pKz2_LMqD98/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Entrevista coletiva | Internacional x São Paulo,SB1eIwuitWo,"Inter e São Paulo empataram sem gols, nesta quinta-feira (13/06), em partida válida pela oitava rodada do Brasileirão de 2024. Após o jogo, disputado no Heriberto Hülse, o tecnico Eduardo Coudet concedeu entrevista coletiva na qual compartilhou suas principais impressões acerca do duelo. Assista!
------------------------
Gostou do vídeo? Então confira esse e muitos outros conteúdos no Mundo Colorado! 
------------------------
:: Mundo Colorado - https://www.socio.internacional.com.br/
:: Site - http://www.internacional.com.br
:: Facebook - http://www.facebook.com/SCInternacional
:: Twitter - http://www.twitter.com/SCInternacional
:: Instagram - http://www.instagram.com/SCInternacional
:: Rádio - http://www.internacional.com.br/radiocolorada

*** Somos o canal oficial do Sport Club Internacional no Youtube. Acompanhe transmissões ao vivo, vídeos e conteúdos exclusivos. ***

Produção e realização:  Comunicação Sport Club Internacional",2024-06-14T05:12:17Z,2024-06-18 18:12:38.399350,128,1635,13,"{'default': {'url': 'https://i.ytimg.com/vi/SB1eIwuitWo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SB1eIwuitWo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SB1eIwuitWo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/SB1eIwuitWo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/SB1eIwuitWo/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Fernando projeta duelo em Criciúma,NZRp-c_Wu8A,"O meio-campista Fernando compartilha suas expectativas e preparação para o duelo contra o São Paulo, em busca de mais 3 pontos no Campeonato Brasileiro. A partida acontecerá em Criciúma-SC!
------------------------
Gostou do vídeo? Então confira esse e muitos outros conteúdos no Mundo Colorado! 
------------------------
:: Mundo Colorado - https://www.socio.internacional.com.br/
:: Site - http://www.internacional.com.br
:: Facebook - http://www.facebook.com/SCInternacional
:: Twitter - http://www.twitter.com/SCInternacional
:: Instagram - http://www.instagram.com/SCInternacional
:: Rádio - http://www.internacional.com.br/radiocolorada

*** Somos o canal oficial do Sport Club Internacional no Youtube. Acompanhe transmissões ao vivo, vídeos e conteúdos exclusivos. ***

Produção e realização:  Comunicação Sport Club Internacional",2024-06-13T13:13:17Z,2024-06-18 18:12:38.399350,360,2761,29,"{'default': {'url': 'https://i.ytimg.com/vi/NZRp-c_Wu8A/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NZRp-c_Wu8A/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NZRp-c_Wu8A/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/NZRp-c_Wu8A/sddefault.jpg', 'width': 640, 'height': 480}}"
Programa do Inter | 12/06/2024,aO5ro9wwRbc,"Noticiário esportivo com ênfase na rotina colorada, o Programa do Inter desta quarta-feira (12/06) projeta o embate do Clube do Povo contra o São Paulo, em Criciúma, e a visita das Gurias Coloradas ao Avaí/Kindermann. Acompanhe para ficar por dentro, também, das últimas informações das categorias de base masculina e feminina!
------------------------
Gostou do vídeo? Então confira esse e muitos outros conteúdos no Mundo Colorado, a nova plataforma exclusiva de serviços, informações e entretenimento do Clube do Povo! 

------------------------
:: Mundo Colorado - https://www.socio.internacional.com.br/
:: Site - http://www.internacional.com.br
:: Facebook - http://www.facebook.com/SCInternacional
:: Twitter - http://www.twitter.com/SCInternacional
:: Instagram - http://www.instagram.com/SCInternacional
:: Rádio - http://www.internacional.com.br/radiocolorada

*** Somos o canal oficial do Sport Club Internacional no Youtube. Acompanhe transmissões ao vivo, vídeos e conteúdos exclusivos. ***

Produção e realização:  Comunicação Sport Club Internacional",2024-06-12T22:16:07Z,2024-06-18 18:12:38.399350,120,746,0,"{'default': {'url': 'https://i.ytimg.com/vi/aO5ro9wwRbc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aO5ro9wwRbc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aO5ro9wwRbc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/aO5ro9wwRbc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/aO5ro9wwRbc/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Programa do Inter | 11/06/2024,58UGgeOFFco,"O Programa do Inter desta terça-feira (11/06) traz informações sobre a preparação do Colorado para enfrentar o São Paulo pelo Brasileirão e sobre as Gurias Coloradas, que encaram o Avaí Kindermann também nesta semana. Assista!
------------------------
Gostou do vídeo? Então confira esse e muitos outros conteúdos no Mundo Colorado, a nova plataforma exclusiva de serviços, informações e entretenimento do Clube do Povo! 

------------------------
:: Mundo Colorado - https://www.socio.internacional.com.br/
:: Site - http://www.internacional.com.br
:: Facebook - http://www.facebook.com/SCInternacional
:: Twitter - http://www.twitter.com/SCInternacional
:: Instagram - http://www.instagram.com/SCInternacional
:: Rádio - http://www.internacional.com.br/radiocolorada

*** Somos o canal oficial do Sport Club Internacional no Youtube. Acompanhe transmissões ao vivo, vídeos e conteúdos exclusivos. ***

Produção e realização:  Comunicação Sport Club Internacional",2024-06-11T22:07:26Z,2024-06-18 18:12:38.399350,110,675,1,"{'default': {'url': 'https://i.ytimg.com/vi/58UGgeOFFco/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/58UGgeOFFco/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/58UGgeOFFco/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/58UGgeOFFco/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/58UGgeOFFco/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Bastidores | Gurias Coloradas 4 x0 Atlético-MG | Brasileirão feminino,SG5VYxXkQlk,"No retorno ao Campeonato Brasileiro, após mais de 30 dias sem a disputar uma partida, as Gurias Coloradas venceram o Atlético-MG por 4 a 0 no SESC Protásio Alves com gols de Letícia Monteiro (2x), Tamara e Belén Aquino. Confira tudo o que rolou no confronto!
------------------------
Gostou do vídeo? Então confira esse e muitos outros conteúdos no Mundo Colorado! 

------------------------
:: Mundo Colorado - https://www.socio.internacional.com.br/
:: Site - http://www.internacional.com.br
:: Facebook - http://www.facebook.com/SCInternacional
:: Twitter - http://www.twitter.com/SCInternacional
:: Instagram - http://www.instagram.com/SCInternacional
:: Rádio - http://www.internacional.com.br/radiocolorada

*** Somos o canal oficial do Sport Club Internacional no Youtube. Acompanhe transmissões ao vivo, vídeos e conteúdos exclusivos. ***

Produção e realização:  Comunicação Sport Club Internacional",2024-06-11T01:22:00Z,2024-06-18 18:12:38.399350,240,1741,19,"{'default': {'url': 'https://i.ytimg.com/vi/SG5VYxXkQlk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SG5VYxXkQlk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SG5VYxXkQlk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/SG5VYxXkQlk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/SG5VYxXkQlk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Programa do Inter | 10/06/2024,dZecoc3UWGc,"O Programa do Inter desta segunda-feira (08/06) repercute a classificação colorada na CONMEBOL Sul-Americana e a vitória das Gurias Coloradas no Brasileirão feminino. Além disso, o técnico da equipe feminina, Jorge Barcellos, participa da atração. Assista!
------------------------
Gostou do vídeo? Então confira esse e muitos outros conteúdos no Mundo Colorado, a nova plataforma exclusiva de serviços, informações e entretenimento do Clube do Povo! 

------------------------
:: Mundo Colorado - https://www.socio.internacional.com.br/
:: Site - http://www.internacional.com.br
:: Facebook - http://www.facebook.com/SCInternacional
:: Twitter - http://www.twitter.com/SCInternacional
:: Instagram - http://www.instagram.com/SCInternacional
:: Rádio - http://www.internacional.com.br/radiocolorada

*** Somos o canal oficial do Sport Club Internacional no Youtube. Acompanhe transmissões ao vivo, vídeos e conteúdos exclusivos. ***

Produção e realização:  Comunicação Sport Club Internacional",2024-06-10T22:18:53Z,2024-06-18 18:12:38.399350,111,808,0,"{'default': {'url': 'https://i.ytimg.com/vi/dZecoc3UWGc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dZecoc3UWGc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dZecoc3UWGc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dZecoc3UWGc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dZecoc3UWGc/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Bastidores | Internacional 1x0 Delfín-EQU | CONMEBOL Sul-Americana,h2jdHSKtEXw,"Precisando vencer para se classificar para os playoffs da CONMEBOL Sul-Americana, o Colorado contou com o apoio da nossa torcida, na nossa terra, para vencer o Delfín por 1 a 0, com gol de Lucas Alario, no Estádio Alfredo Jaconi. Assista aos bastidores do triunfo do Clube do Povo e a festa em Caxias do Sul!
------------------------
Gostou do vídeo? Então confira esse e muitos outros conteúdos no Mundo Colorado! 

------------------------
:: Mundo Colorado - https://www.socio.internacional.com.br/
:: Site - http://www.internacional.com.br
:: Facebook - http://www.facebook.com/SCInternacional
:: Twitter - http://www.twitter.com/SCInternacional
:: Instagram - http://www.instagram.com/SCInternacional
:: Rádio - http://www.internacional.com.br/radiocolorada

*** Somos o canal oficial do Sport Club Internacional no Youtube. Acompanhe transmissões ao vivo, vídeos e conteúdos exclusivos. ***

Produção e realização:  Comunicação Sport Club Internacional",2024-06-10T00:32:30Z,2024-06-18 18:12:38.399350,2748,25171,155,"{'default': {'url': 'https://i.ytimg.com/vi/h2jdHSKtEXw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/h2jdHSKtEXw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/h2jdHSKtEXw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/h2jdHSKtEXw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/h2jdHSKtEXw/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
