title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
BRASILEIRÃO 2024 | CORINTHIANS X SÃO PAULO | SPFC PLAY,pwX1RagwaYI,"Cadastre-se na SPFC Play: https://spfc.vc/3uLYoyJ

📲 Baixe na Play Store: http://bit.ly/3CLjS2k
📲 Baixe na App Store: http://apple.co/3F2wCED",2024-06-16T19:59:59Z,2024-06-18 18:08:38.054926,2198,46497,55,"{'default': {'url': 'https://i.ytimg.com/vi/pwX1RagwaYI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pwX1RagwaYI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pwX1RagwaYI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/pwX1RagwaYI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/pwX1RagwaYI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
❤️ Essa é a Torcida Que Conduz!,YkcFoU94vUk,,2024-06-14T02:13:20Z,2024-06-18 18:08:38.054926,1508,6258,33,"{'default': {'url': 'https://i.ytimg.com/vi/YkcFoU94vUk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/YkcFoU94vUk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/YkcFoU94vUk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/YkcFoU94vUk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/YkcFoU94vUk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
BRASILEIRÃO 2024 | INTERNACIONAL X SÃO PAULO | SPFC PLAY,qeqaLJleijs,"Cadastre-se na SPFC Play: https://spfc.vc/3uLYoyJ

📲 Baixe na Play Store: http://bit.ly/3CLjS2k
📲 Baixe na App Store: http://apple.co/3F2wCED",2024-06-14T00:08:22Z,2024-06-18 18:08:38.054926,2788,86370,24,"{'default': {'url': 'https://i.ytimg.com/vi/qeqaLJleijs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qeqaLJleijs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qeqaLJleijs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/qeqaLJleijs/sddefault.jpg', 'width': 640, 'height': 480}}"
NÃO FALTA MAIS - EP. 04: CORTA PRA FINAL | SPFC PLAY,WIshKxBNd60,"Para uma semifinal inesquecível, um episódio épico!

O quarto capítulo da série “Não Falta Mais” está disponível na SPFC Play!

Assista: https://spfc.vc/3Rfi8qc

Cadastre-se na SPFC Play: https://spfc.vc/3uLYoyJ

📲 Baixe na Play Store: http://bit.ly/3CLjS2k
📲 Baixe na App Store: http://apple.co/3F2wCED",2024-06-13T14:32:08Z,2024-06-18 18:08:38.054926,1238,13635,51,"{'default': {'url': 'https://i.ytimg.com/vi/WIshKxBNd60/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/WIshKxBNd60/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/WIshKxBNd60/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/WIshKxBNd60/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/WIshKxBNd60/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
MICHEL ARAUJO ATÉ 2027 | SPFC PLAY,J6O9ZYJXGwM,"Cadastre-se na SPFC Play: https://spfc.vc/3uLYoyJ

📲 Baixe na Play Store: http://bit.ly/3CLjS2k
📲 Baixe na App Store: http://apple.co/3F2wCED",2024-06-12T21:49:06Z,2024-06-18 18:08:38.054926,3402,23252,180,"{'default': {'url': 'https://i.ytimg.com/vi/J6O9ZYJXGwM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/J6O9ZYJXGwM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/J6O9ZYJXGwM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/J6O9ZYJXGwM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/J6O9ZYJXGwM/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
⚽️ O último gol de Rogério Ceni no MorumBIS!,tJqSGqAK5Is,,2024-06-06T16:50:27Z,2024-06-18 18:08:38.054926,1852,16678,30,"{'default': {'url': 'https://i.ytimg.com/vi/tJqSGqAK5Is/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tJqSGqAK5Is/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tJqSGqAK5Is/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/tJqSGqAK5Is/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/tJqSGqAK5Is/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
🏀 Tricolores ligados nas Finais da #NBA!,M8sL9FytWxI,,2024-06-06T16:20:04Z,2024-06-18 18:08:38.054926,2481,29760,26,"{'default': {'url': 'https://i.ytimg.com/vi/M8sL9FytWxI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/M8sL9FytWxI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/M8sL9FytWxI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/M8sL9FytWxI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/M8sL9FytWxI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
NÃO FALTA MAIS - EP. 03: TÁ CHEIRANDO TÍTULO | SPFC PLAY,LckxIuat5OQ,"Tem novidade na #SPFCplay! O terceiro episódio da série “Não Falta Mais” já está disponível!

Venha reviver momentos históricos e conferir imagens e depoimentos inéditos!

Assista: https://spfc.vc/3Rfi8qc",2024-06-06T13:20:26Z,2024-06-18 18:08:38.054926,1609,20625,134,"{'default': {'url': 'https://i.ytimg.com/vi/LckxIuat5OQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LckxIuat5OQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LckxIuat5OQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/LckxIuat5OQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/LckxIuat5OQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"O jogador tricolor ideal para o atacante Valadares, do nosso Sub-15! 🔥🎥",JBXlyaT6ejg,#Futebol #SãoPauloFC #MadeInCotia #Jogador #JogadorPerfeito #TikTokEsportes,2024-06-05T16:35:12Z,2024-06-18 18:08:38.054926,2204,27326,28,"{'default': {'url': 'https://i.ytimg.com/vi/JBXlyaT6ejg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JBXlyaT6ejg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JBXlyaT6ejg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/JBXlyaT6ejg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/JBXlyaT6ejg/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
SANTO PAPO - EP 15 - RAFAEL | SPFC PLAY,IX0G90eKwuE,"A resenha completa com o goleiro do Tricolor e da Seleção Brasileira está na #SPFCplay!

Assista: https://spfc.vc/4cpqBPR",2024-06-05T15:57:35Z,2024-06-18 18:08:38.054926,1251,6997,59,"{'default': {'url': 'https://i.ytimg.com/vi/IX0G90eKwuE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IX0G90eKwuE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IX0G90eKwuE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/IX0G90eKwuE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/IX0G90eKwuE/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
