title,video_id,video_description,published_date,extraction_date,views,comment,thumbnail
COLETIVA: Pedro Henrique  - (17/06/2024),4vV_-NQFUEE,"--

Acompanhe as redes do DRAGÃO:

• Facebook: https://www.facebook.com/ACGOficial
• Instagram: https://www.instagram.com/acgoficial
• Twitter: https://www.twitter.com/acgoficial
• Sócio Torcedor: https://www.meudragao.com
• Flickr: https://www.flickr.com/photos/acgoficial

.

#AtléticoGoianianiense #ACG #DragãoDoBrasil #Dragão #AtléticoClubeGoianiense",2024-06-17T18:52:09Z,2024-06-18 18:25:52.070977,704,7,"{'default': {'url': 'https://i.ytimg.com/vi/4vV_-NQFUEE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4vV_-NQFUEE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4vV_-NQFUEE/hqdefault.jpg', 'width': 480, 'height': 360}}"
AO VIVO: Coletiva  com Jair Ventura - pós-jogo  Fluminense 1 x 2 Atlético Goianiense,fCI8IdViPfo,"--
Acompanhe ao vivo coletiva de imprensa do Dragäo.

Acompanhe as redes do DRAGÃO:

• Facebook: https://www.facebook.com/ACGOficial
• Instagram: https://www.instagram.com/acgoficial
• Twitter: https://www.twitter.com/acgoficial
• Sócio Torcedor: https://www.meudragao.com
• Flickr: https://www.flickr.com/photos/acgoficial

.

#AtléticoGoianianiense #ACG #DragãoDoBrasil #Dragão #AtléticoClubeGoianiense",2024-06-16T15:36:49Z,2024-06-18 18:25:52.070977,3519,15,"{'default': {'url': 'https://i.ytimg.com/vi/fCI8IdViPfo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fCI8IdViPfo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fCI8IdViPfo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/fCI8IdViPfo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/fCI8IdViPfo/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
AO VIVO: Coletiva  com Adson Batista - pós-jogo  Fluminense 1 x 2 Atlético Goianiense,w55tzRp4zn4,"--
Acompanhe ao vivo coletiva de imprensa do Dragäo.

Acompanhe as redes do DRAGÃO:

• Facebook: https://www.facebook.com/ACGOficial
• Instagram: https://www.instagram.com/acgoficial
• Twitter: https://www.twitter.com/acgoficial
• Sócio Torcedor: https://www.meudragao.com
• Flickr: https://www.flickr.com/photos/acgoficial

.

#AtléticoGoianianiense #ACG #DragãoDoBrasil #Dragão #AtléticoClubeGoianiense",2024-06-16T02:33:55Z,2024-06-18 18:25:52.070977,3318,14,"{'default': {'url': 'https://i.ytimg.com/vi/w55tzRp4zn4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/w55tzRp4zn4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/w55tzRp4zn4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/w55tzRp4zn4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/w55tzRp4zn4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA: LUIZ FERNANDO - (13/06/2024),zy5b2Kp0a34,"--

Acompanhe as redes do DRAGÃO:

• Facebook: https://www.facebook.com/ACGOficial
• Instagram: https://www.instagram.com/acgoficial
• Twitter: https://www.twitter.com/acgoficial
• Sócio Torcedor: https://www.meudragao.com
• Flickr: https://www.flickr.com/photos/acgoficial

.

#AtléticoGoianianiense #ACG #DragãoDoBrasil #Dragão #AtléticoClubeGoianiense",2024-06-13T17:26:38Z,2024-06-18 18:25:52.070977,519,7,"{'default': {'url': 'https://i.ytimg.com/vi/zy5b2Kp0a34/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zy5b2Kp0a34/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zy5b2Kp0a34/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/zy5b2Kp0a34/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/zy5b2Kp0a34/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA: Rhaldney - (12/06/2024),95c4jp9-ig0,"--

Acompanhe as redes do DRAGÃO:

• Facebook: https://www.facebook.com/ACGOficial
• Instagram: https://www.instagram.com/acgoficial
• Twitter: https://www.twitter.com/acgoficial
• Sócio Torcedor: https://www.meudragao.com
• Flickr: https://www.flickr.com/photos/acgoficial

.

#AtléticoGoianianiense #ACG #DragãoDoBrasil #Dragão #AtléticoClubeGoianiense",2024-06-12T18:46:02Z,2024-06-18 18:25:52.070977,390,6,"{'default': {'url': 'https://i.ytimg.com/vi/95c4jp9-ig0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/95c4jp9-ig0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/95c4jp9-ig0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/95c4jp9-ig0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/95c4jp9-ig0/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Coletiva pós-jogo Adson Batista - Atlético Goianiense x Corinthians #DragaoTV,QhZWrGbOcgM,"--  Créditos de Imagem - TV Serra Dourada

Acompanhe as redes do DRAGÃO:

• Facebook: https://www.facebook.com/ACGOficial
• Instagram: https://www.instagram.com/acgoficial
• Twitter: https://www.twitter.com/acgoficial
• Sócio Torcedor: https://www.meudragao.com
• Flickr: https://www.flickr.com/photos/acgoficial

.

#AtléticoGoianianiense #ACG #DragãoDoBrasil #Dragão #AtléticoClubeGoianiense",2024-06-12T14:41:21Z,2024-06-18 18:25:52.070977,2167,24,"{'default': {'url': 'https://i.ytimg.com/vi/QhZWrGbOcgM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/QhZWrGbOcgM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/QhZWrGbOcgM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/QhZWrGbOcgM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/QhZWrGbOcgM/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
AO VIVO: Coletiva  com Jair Ventura - pós-jogo  Atlético Goianiense x Corinthians,aWqqOFAwu3I,"--
Acompanhe ao vivo coletiva de imprensa do Dragäo.

Acompanhe as redes do DRAGÃO:

• Facebook: https://www.facebook.com/ACGOficial
• Instagram: https://www.instagram.com/acgoficial
• Twitter: https://www.twitter.com/acgoficial
• Sócio Torcedor: https://www.meudragao.com
• Flickr: https://www.flickr.com/photos/acgoficial

.

#AtléticoGoianianiense #ACG #DragãoDoBrasil #Dragão #AtléticoClubeGoianiense",2024-06-12T01:00:58Z,2024-06-18 18:25:52.070977,1737,12,"{'default': {'url': 'https://i.ytimg.com/vi/aWqqOFAwu3I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aWqqOFAwu3I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aWqqOFAwu3I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/aWqqOFAwu3I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/aWqqOFAwu3I/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA / PRÉ-JOGO: Jair Ventura - (10/06/2024),2x7EL9HmzVc,"--

Acompanhe as redes do DRAGÃO:

• Facebook: https://www.facebook.com/ACGOficial
• Instagram: https://www.instagram.com/acgoficial
• Twitter: https://www.twitter.com/acgoficial
• Sócio Torcedor: https://www.meudragao.com
• Flickr: https://www.flickr.com/photos/acgoficial

.

#AtléticoGoianianiense #ACG #DragãoDoBrasil #Dragão #AtléticoClubeGoianiense",2024-06-10T19:00:27Z,2024-06-18 18:25:52.070977,1079,13,"{'default': {'url': 'https://i.ytimg.com/vi/2x7EL9HmzVc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2x7EL9HmzVc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2x7EL9HmzVc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/2x7EL9HmzVc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/2x7EL9HmzVc/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA : Lucas Kal  - (07/06/2024),nXvdSqqyJLI,"--

Acompanhe as redes do DRAGÃO:

• Facebook: https://www.facebook.com/ACGOficial
• Instagram: https://www.instagram.com/acgoficial
• Twitter: https://www.twitter.com/acgoficial
• Sócio Torcedor: https://www.meudragao.com
• Flickr: https://www.flickr.com/photos/acgoficial

.

#AtléticoGoianianiense #ACG #DragãoDoBrasil #Dragão #AtléticoClubeGoianiense",2024-06-07T18:53:33Z,2024-06-18 18:25:52.070977,540,7,"{'default': {'url': 'https://i.ytimg.com/vi/nXvdSqqyJLI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nXvdSqqyJLI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nXvdSqqyJLI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/nXvdSqqyJLI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/nXvdSqqyJLI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
AO VIVO: Coletiva Jair Ventura pós-jogo - Juventude   x  Atlético Goianiense,lCTUOfg9GUY,"--
Acompanhe ao vivo coletiva de imprensa do Dragäo.

Acompanhe as redes do DRAGÃO:

• Facebook: https://www.facebook.com/ACGOficial
• Instagram: https://www.instagram.com/acgoficial
• Twitter: https://www.twitter.com/acgoficial
• Sócio Torcedor: https://www.meudragao.com
• Flickr: https://www.flickr.com/photos/acgoficial

.

#AtléticoGoianianiense #ACG #DragãoDoBrasil #Dragão #AtléticoClubeGoianiense",2024-06-06T12:54:54Z,2024-06-18 18:25:52.070977,2011,19,"{'default': {'url': 'https://i.ytimg.com/vi/lCTUOfg9GUY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lCTUOfg9GUY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lCTUOfg9GUY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/lCTUOfg9GUY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/lCTUOfg9GUY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
