title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
BASTIDORES DO HEXA - BAHIA CAMPEÃO BAIANO SUB 20 (16/06/24),Ds2PFPvgpqk,"Acompanhe o EC Bahia nas redes sociais:
https://www.instagram.com/ecbahia
https://www.twitter.com/ecbahia
https://www.facebook.com/ecbahia
https://www.tiktok.com/ecbahia
https://www.flickr.com/esporteclubebahia",2024-06-17T22:58:59Z,2024-06-18 18:17:24.603341,678,5046,30,"{'default': {'url': 'https://i.ytimg.com/vi/Ds2PFPvgpqk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Ds2PFPvgpqk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Ds2PFPvgpqk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Ds2PFPvgpqk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Ds2PFPvgpqk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA - EVERALDO (16/06/24),U-AfsSqZ9Uo,"Acompanhe o EC Bahia nas redes sociais:
https://www.instagram.com/ecbahia
https://www.twitter.com/ecbahia
https://www.facebook.com/ecbahia
https://www.tiktok.com/ecbahia
https://www.flickr.com/esporteclubebahia",2024-06-17T01:39:46Z,2024-06-18 18:17:24.603341,730,7855,44,"{'default': {'url': 'https://i.ytimg.com/vi/U-AfsSqZ9Uo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/U-AfsSqZ9Uo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/U-AfsSqZ9Uo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/U-AfsSqZ9Uo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/U-AfsSqZ9Uo/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA - CAIO ALEXANDRE (16/06/24),6CBJfcCOBSs,"Acompanhe o EC Bahia nas redes sociais:
https://www.instagram.com/ecbahia
https://www.twitter.com/ecbahia
https://www.facebook.com/ecbahia
https://www.tiktok.com/ecbahia
https://www.flickr.com/esporteclubebahia",2024-06-17T01:39:03Z,2024-06-18 18:17:24.603341,530,5152,27,"{'default': {'url': 'https://i.ytimg.com/vi/6CBJfcCOBSs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6CBJfcCOBSs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6CBJfcCOBSs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/6CBJfcCOBSs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/6CBJfcCOBSs/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA - ROGÉRIO CENI (16/06/24),OR5WeayDRI8,"Acompanhe o EC Bahia nas redes sociais:
https://www.instagram.com/ecbahia
https://www.twitter.com/ecbahia
https://www.facebook.com/ecbahia
https://www.tiktok.com/ecbahia
https://www.flickr.com/esporteclubebahia",2024-06-17T01:38:20Z,2024-06-18 18:17:24.603341,2616,27631,169,"{'default': {'url': 'https://i.ytimg.com/vi/OR5WeayDRI8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/OR5WeayDRI8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/OR5WeayDRI8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/OR5WeayDRI8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/OR5WeayDRI8/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
CRICIÚMA 2 x 2 BAHIA - NARRAÇÃO AO VIVO - BRASILEIRÃO (16/06/24),Yh6jmgE3fbY,"A TV Bahêa transmite, com narração e comentários, o jogo entre Criciúma e Bahia pela 9ª rodada do Brasileirão 2024.

Acompanhe o EC Bahia nas redes sociais:
https://www.instagram.com/ecbahia
https://www.twitter.com/ecbahia
https://www.facebook.com/ecbahia
https://www.tiktok.com/ecbahia
https://www.flickr.com/esporteclubebahia",2024-06-16T23:49:48Z,2024-06-18 18:17:24.603341,1096,53731,1,"{'default': {'url': 'https://i.ytimg.com/vi/Yh6jmgE3fbY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Yh6jmgE3fbY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Yh6jmgE3fbY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Yh6jmgE3fbY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Yh6jmgE3fbY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
FINAL DO SUB 20 - BAHIA 1 x 1 VITÓRIA - AO VIVO E COM IMAGENS - BAIANO (16/06/24),X8GD6T1LS_0,"A TV Bahêa transmite o jogo entre Bahia e Vitória pela final do Campeonato Baiano Sub-20 2024.

Acompanhe o EC Bahia nas redes sociais:
https://www.instagram.com/ecbahia
https://www.twitter.com/ecbahia
https://www.facebook.com/ecbahia
https://www.tiktok.com/ecbahia
https://www.flickr.com/esporteclubebahia",2024-06-16T16:45:21Z,2024-06-18 18:17:24.603341,2548,48742,8,"{'default': {'url': 'https://i.ytimg.com/vi/X8GD6T1LS_0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/X8GD6T1LS_0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/X8GD6T1LS_0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/X8GD6T1LS_0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/X8GD6T1LS_0/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
SUB 20 - BAHIA 1 x 1 VITÓRIA - GOL DO TÍTULO - BAIANO (16/06/24),2T5imNyaxm4,"Confira o gol de Tiago que deu o título de Campeão Baiano Sub-20 para o Bahia após o empate com o Vitória por 1 x 1.

Acompanhe o EC Bahia nas redes sociais:
https://www.instagram.com/ecbahia
https://www.twitter.com/ecbahia
https://www.facebook.com/ecbahia
https://www.tiktok.com/ecbahia
https://www.flickr.com/esporteclubebahia",2024-06-16T14:49:06Z,2024-06-18 18:17:24.603341,368,5708,5,"{'default': {'url': 'https://i.ytimg.com/vi/2T5imNyaxm4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2T5imNyaxm4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2T5imNyaxm4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/2T5imNyaxm4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/2T5imNyaxm4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
EQUIPE DO CITY PROMOVE CURSO PARA MONITORES DO BORA BAHÊA MEU BAIRRO,xJU28zWhsi0,"- Treinamento ministrado pela equipe do CFG, que tem um projeto similar em Manchester
- Participaram 9 monitores dos 3 campos que já estão em atividade no projeto: Vale das Pedrinhas, Rocinha e Candeal, além de profissionais da Iniciação e da base do Bahia
- Saúde mental e física, Liderança, Inclusão, Segurança e Impacto Social, com atividades práticas e teóricas 
- Encerramento contou com 100 crianças do projeto, quando os monitores puderam aplicar o conhecimento aprendido

Saiba mais em https://www.esporteclubebahia.com.br/bahia-na-comunidade

Acompanhe o EC Bahia nas redes sociais:
https://www.instagram.com/ecbahia
https://www.twitter.com/ecbahia
https://www.facebook.com/ecbahia
https://www.tiktok.com/ecbahia
https://www.flickr.com/esporteclubebahia",2024-06-15T23:04:40Z,2024-06-18 18:17:24.603341,398,4311,25,"{'default': {'url': 'https://i.ytimg.com/vi/xJU28zWhsi0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xJU28zWhsi0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xJU28zWhsi0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/xJU28zWhsi0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/xJU28zWhsi0/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
POR DENTRO DO TREINO (15/06/24),Xsszz1kFsi8,"Acompanhe o EC Bahia nas redes sociais:
https://www.instagram.com/ecbahia
https://www.twitter.com/ecbahia
https://www.facebook.com/ecbahia
https://www.tiktok.com/ecbahia
https://www.flickr.com/esporteclubebahia",2024-06-15T22:15:51Z,2024-06-18 18:17:24.603341,741,8009,19,"{'default': {'url': 'https://i.ytimg.com/vi/Xsszz1kFsi8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Xsszz1kFsi8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Xsszz1kFsi8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Xsszz1kFsi8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Xsszz1kFsi8/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA - CAIO ALEXANDRE (15/06/24),BJa85FgjYR0,"Acompanhe o EC Bahia nas redes sociais:
https://www.instagram.com/ecbahia
https://www.twitter.com/ecbahia
https://www.facebook.com/ecbahia
https://www.tiktok.com/ecbahia
https://www.flickr.com/esporteclubebahia",2024-06-15T15:07:19Z,2024-06-18 18:17:24.603341,660,6966,17,"{'default': {'url': 'https://i.ytimg.com/vi/BJa85FgjYR0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BJa85FgjYR0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BJa85FgjYR0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/BJa85FgjYR0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/BJa85FgjYR0/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
