team_name,video_id,published_date,likes,views,comment
Botafogo,f1JdbkcXheA,2024-06-12T23:04:23Z,10623,85793,443
Botafogo,fWwzIRtNTXU,2024-06-03T22:37:14Z,8583,63615,273
Botafogo,TCxcMoK0PvI,2024-05-23T21:06:37Z,7743,60842,285
Botafogo,XRcakhuXuYs,2024-05-10T02:01:42Z,8299,65245,330
Botafogo,ZqrlmiGBjH0,2024-05-03T20:13:32Z,5486,44206,148
Botafogo,wcUW5H3h9WI,2024-04-30T03:04:24Z,13578,99614,697
Botafogo,mZ-xSiD39PY,2024-04-29T22:48:49Z,6162,52887,215
Botafogo,zqb0cWiKTNE,2024-04-26T00:22:25Z,6816,54450,219
Botafogo,mAgqJyBIjQE,2024-04-20T01:26:06Z,3889,34293,93
Botafogo,54OnkYfoUgA,2024-04-01T23:54:32Z,3292,30198,104
Botafogo,2q61BHtZAlU,2024-03-28T22:23:49Z,4344,37890,122
Botafogo,izHn_-S59DQ,2024-03-20T00:07:06Z,7791,70963,247
Botafogo,oJf2_T2fkNk,2024-03-20T00:04:46Z,10335,80075,511
Botafogo,vm7HzMEr_2Y,2024-03-19T19:06:20Z,3235,33176,86
Botafogo,3f5cmPBisY4,2024-03-13T17:49:57Z,2982,28699,73
Botafogo,iq-dAUkSDX4,2024-03-07T22:50:51Z,8967,70285,353
Botafogo,HrIWZ2kST2Y,2024-03-04T22:13:55Z,7310,63211,277
Botafogo,F2X6CG3DCrI,2024-02-27T00:54:51Z,1628,12232,81
Botafogo,xaN1ueMQM1k,2024-02-15T22:49:58Z,3043,22218,107
Botafogo,THmZdDvyGik,2024-01-29T22:55:16Z,2426,21700,66
Botafogo,mt1kvKBk83M,2024-01-23T00:42:50Z,2714,29535,108
Botafogo,OrGy-itMxYM,2024-01-19T11:53:04Z,3090,33270,156
Corinthians,X86hy2UIXS4,2024-02-12T20:59:26Z,24668,213295,813
Corinthians,ii9hyZ-NMNI,2024-02-16T12:14:34Z,19746,174283,582
Corinthians,#NAME?,2024-02-19T20:10:11Z,36939,312784,1086
Corinthians,yM-jGZYGbNo,2024-02-23T21:10:01Z,20267,190249,436
Corinthians,dYs4lLc1cbM,2024-03-03T22:46:38Z,13074,131538,311
Corinthians,3J0vzd6tbDI,2024-03-28T19:51:59Z,7511,78003,155
Corinthians,aRV_F_k-YoM,2024-04-10T22:33:27Z,20543,181186,585
Corinthians,mh-cOjw-Tnw,2024-04-29T22:19:50Z,26298,204832,1015
Corinthians,vk6IMKrTnFQ,2024-05-02T23:01:37Z,11228,108163,211
Corinthians,yITkMsC8uyQ,2024-05-08T22:51:38Z,9072,86484,262
Corinthians,ImW_w-fqt-Q,2024-05-15T23:36:27Z,16919,160125,482
Corinthians,#NAME?,2024-05-23T23:46:47Z,10078,104511,261
Cruzeiro,SvaP9bza6uM,2024-06-14T20:35:49Z,7837,56885,229
Cruzeiro,HNzg6g5jzmY,2024-05-31T20:13:28Z,11511,83388,323
Cruzeiro,ZqgWsgHHXkI,2024-05-17T22:13:47Z,7858,64344,244
Cruzeiro,repFcJGAW20,2024-05-13T21:23:55Z,983,7506,46
Cruzeiro,_gsnqnkdp9g,2024-05-09T12:50:19Z,8336,62614,209
Cruzeiro,UShClHAMKJc,2024-04-30T15:58:50Z,1011,7836,100
Cruzeiro,iSRxm8Gnebo,2024-04-18T20:22:41Z,9009,75153,297
Cruzeiro,7zdWGlzV67g,2024-04-15T20:12:41Z,10076,85797,262
Cruzeiro,4uyHbiIe_Pw,2024-03-17T21:28:38Z,7902,83331,163
Cruzeiro,uSCuMyFpfjc,2024-03-03T16:07:23Z,6591,59651,187
Cruzeiro,3y1MEycvtLY,2024-02-26T20:04:17Z,875,8129,72
Cruzeiro,Ktjl8odGUUI,2024-02-21T15:27:52Z,8342,64765,233
Cruzeiro,COZSoADgtEU,2024-02-19T21:44:54Z,11181,132587,259
Cruzeiro,JDUShl7jFYk,2024-02-10T21:50:17Z,30340,271066,1347
Cruzeiro,pgbUUtgDdNk,2024-02-04T20:41:29Z,2572,23140,202
Flamengo,6GZytfHPXkQ,2024-04-15T23:32:03Z,4186,58696,115
Flamengo,24xu2-UhBuo,2024-04-19T00:19:53Z,6628,76625,152
Flamengo,GFR9T-P3nOY,2024-05-13T00:11:52Z,6094,72120,258
Flamengo,YQn6OmfI-FA,2024-06-04T03:05:42Z,15176,208169,360
Flamengo,ZhfKHN9wpTA,2024-06-15T01:19:23Z,6046,63487,134
Flamengo,r3i2EUW2jTM,2024-05-02T22:41:16Z,1521,12223,66
Flamengo,24LI-yDc-U4,2024-05-24T00:49:31Z,1879,22545,61
Flamengo,_gWNxDT3FA8,2024-04-12T01:17:09Z,3462,39517,66
Flamengo,IDa8u5VaF_Q,2024-05-17T00:59:03Z,5351,58022,204
Flamengo,5YJx0cs-iHk,2024-05-30T00:06:02Z,3563,31752,89
Fluminense,24kuJU0S_Sg,2024-05-31T00:52:09Z,3739,32688,144
Fluminense,QyCFhSKSbS0,2024-05-24T20:07:26Z,2164,20484,60
Fluminense,9Z7_CfDhtJQ,2024-05-22T00:48:15Z,554,3421,22
Fluminense,fZ9pJfkKEqA,2024-05-18T23:16:08Z,4241,41822,118
Fluminense,OxT9kfXtl_Q,2024-05-11T23:05:28Z,3625,30483,172
Fluminense,L3eTTYKaSSk,2024-05-04T13:09:12Z,1251,10413,53
Fluminense,NojIeoQh6i0,2024-04-22T00:46:56Z,5103,44898,174
Fluminense,0y1O-A-evtA,2024-04-11T18:19:34Z,4621,38587,206
