title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
"Elenco do Dourado encerra a preparação para enfrentar o São Paulo, no Morumbis",XWqoD3Jl6Ps,"São Paulo x Cuiabá se enfrentam nesta quarta-feira (19), pelo Brasileirão 2024",2024-06-18T15:39:55Z,2024-06-18 18:28:15.507540,37,136,2,"{'default': {'url': 'https://i.ytimg.com/vi/XWqoD3Jl6Ps/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XWqoD3Jl6Ps/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XWqoD3Jl6Ps/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/XWqoD3Jl6Ps/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/XWqoD3Jl6Ps/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Os bastidores da goleada por 5 a 0 diante do Fortaleza pelo Brasileirão 2024,CoFsgGqD-hY,Dourado cumpriu o dever de casa com placar elástico e fez a alegria da torcida auriverde  na Arena Pantanal.,2024-06-17T21:51:53Z,2024-06-18 18:28:15.507540,132,1125,16,"{'default': {'url': 'https://i.ytimg.com/vi/CoFsgGqD-hY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/CoFsgGqD-hY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/CoFsgGqD-hY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/CoFsgGqD-hY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/CoFsgGqD-hY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"Artilheiro do ano, o atacante Isidro Pitta avalia o seu momento com a camisa do Dourado",VhwRSTpgFdw,O paraguaio já marcou 17 gols na temporada 2024,2024-06-17T19:43:09Z,2024-06-18 18:28:15.507540,123,972,17,"{'default': {'url': 'https://i.ytimg.com/vi/VhwRSTpgFdw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/VhwRSTpgFdw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/VhwRSTpgFdw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/VhwRSTpgFdw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/VhwRSTpgFdw/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Técnico Petit analisa a vitória diante do Fortaleza,iJatJkDUglU,Comandante do Dourado falou sobre a goleada contra a equipe nordestina por 5 a 0.,2024-06-17T01:44:22Z,2024-06-18 18:28:15.507540,199,2628,32,"{'default': {'url': 'https://i.ytimg.com/vi/iJatJkDUglU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/iJatJkDUglU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/iJatJkDUglU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/iJatJkDUglU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/iJatJkDUglU/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"Confira os gols da goleada do Dourado por 5 a 0 no Fortaleza, na Arena Pantanal",4jA4FrnaxFo,"Cuiabá mostrou sua força e conquistou a primeira vitória, e com placar elástico, em seus domínios.",2024-06-17T00:18:50Z,2024-06-18 18:28:15.507540,153,1557,17,"{'default': {'url': 'https://i.ytimg.com/vi/4jA4FrnaxFo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4jA4FrnaxFo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4jA4FrnaxFo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4jA4FrnaxFo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4jA4FrnaxFo/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"Técnico Petit avalia a partida contra o Cruzeiro, no Mineirão",UiPxndkFOpE,"Em mais um desafio pelo Brasileirão, o Cuiabá foi superado pelo placar de 2 a 1, em Belo Horizonte.",2024-06-14T01:06:59Z,2024-06-18 18:28:15.507540,91,917,17,"{'default': {'url': 'https://i.ytimg.com/vi/UiPxndkFOpE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UiPxndkFOpE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UiPxndkFOpE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/UiPxndkFOpE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/UiPxndkFOpE/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"Alan Empereur avalia o próximo confronto pelo Brasileirão, diante do Cruzeiro",53SSc028TGc,Zagueiro projeta segunda vitória do Dourado na Série A e celebra retorno à terra natal,2024-06-12T21:32:51Z,2024-06-18 18:28:15.507540,58,613,6,"{'default': {'url': 'https://i.ytimg.com/vi/53SSc028TGc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/53SSc028TGc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/53SSc028TGc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/53SSc028TGc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/53SSc028TGc/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Ramon fala sobre o primeiro gol como profissional e projeta o duelo contra o Cruzeiro,pN6Ao2RdMiI,"Diante do Criciúma, o lateral-esquerdo do Dourado marcou seu primeiro gol como profissional.",2024-06-11T13:29:24Z,2024-06-18 18:28:15.507540,48,465,4,"{'default': {'url': 'https://i.ytimg.com/vi/pN6Ao2RdMiI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pN6Ao2RdMiI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pN6Ao2RdMiI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/pN6Ao2RdMiI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/pN6Ao2RdMiI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"Bastidores da goleada do Cuiabá fora de casa, diante do Criciúma",iFytExjpqFM,Dourado conquista a primeira vitória no Brasileirão 2024,2024-06-10T21:59:12Z,2024-06-18 18:28:15.507540,162,1507,15,"{'default': {'url': 'https://i.ytimg.com/vi/iFytExjpqFM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/iFytExjpqFM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/iFytExjpqFM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/iFytExjpqFM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/iFytExjpqFM/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"Coletiva com o técnico Petit, após a vitória por 5 a 2 diante do Criciúma",enfb4w3i4Pg,O nosso Mister avaliou a conquista dos três pontos fora de casa.,2024-06-10T01:39:28Z,2024-06-18 18:28:15.507540,166,2350,21,"{'default': {'url': 'https://i.ytimg.com/vi/enfb4w3i4Pg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/enfb4w3i4Pg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/enfb4w3i4Pg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/enfb4w3i4Pg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/enfb4w3i4Pg/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
