team_name,video_id,published_date,likes,views,comment,thumbnail,url_image
Athletico Paranaense,pItwak0oy8k,2024-06-17T19:00:19Z,27,427,4,"{'default': {'url': 'https://i.ytimg.com/vi/pItwak0oy8k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pItwak0oy8k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pItwak0oy8k/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/pItwak0oy8k/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/pItwak0oy8k/maxresdefault.jpg', 'width': 1280, 'height': 720}}",https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-256.png
Athletico Paranaense,685A0ZBVS2E,2024-06-17T17:00:05Z,45,1425,1,"{'default': {'url': 'https://i.ytimg.com/vi/685A0ZBVS2E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/685A0ZBVS2E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/685A0ZBVS2E/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/685A0ZBVS2E/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/685A0ZBVS2E/maxresdefault.jpg', 'width': 1280, 'height': 720}}",https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-256.png
Athletico Paranaense,jL45iBk4Fno,2024-06-17T15:00:45Z,70,1622,0,"{'default': {'url': 'https://i.ytimg.com/vi/jL45iBk4Fno/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/jL45iBk4Fno/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/jL45iBk4Fno/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/jL45iBk4Fno/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/jL45iBk4Fno/maxresdefault.jpg', 'width': 1280, 'height': 720}}",https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-256.png
Athletico Paranaense,SqrotDGBiWI,2024-06-17T13:19:42Z,32,277,5,"{'default': {'url': 'https://i.ytimg.com/vi/SqrotDGBiWI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SqrotDGBiWI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SqrotDGBiWI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/SqrotDGBiWI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/SqrotDGBiWI/maxresdefault.jpg', 'width': 1280, 'height': 720}}",https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-256.png
Athletico Paranaense,4rJSoz7120s,2024-06-17T13:00:04Z,197,3136,10,"{'default': {'url': 'https://i.ytimg.com/vi/4rJSoz7120s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4rJSoz7120s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4rJSoz7120s/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4rJSoz7120s/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4rJSoz7120s/maxresdefault.jpg', 'width': 1280, 'height': 720}}",https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-256.png
Athletico Paranaense,4MhztqZvaNs,2024-06-17T00:50:44Z,1335,11198,86,"{'default': {'url': 'https://i.ytimg.com/vi/4MhztqZvaNs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4MhztqZvaNs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4MhztqZvaNs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4MhztqZvaNs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4MhztqZvaNs/maxresdefault.jpg', 'width': 1280, 'height': 720}}",https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-256.png
Athletico Paranaense,0SAPmw97G9c,2024-06-15T20:00:00Z,19,599,1,"{'default': {'url': 'https://i.ytimg.com/vi/0SAPmw97G9c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/0SAPmw97G9c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/0SAPmw97G9c/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/0SAPmw97G9c/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/0SAPmw97G9c/maxresdefault.jpg', 'width': 1280, 'height': 720}}",https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-256.png
Athletico Paranaense,x9DbIQS4MMs,2024-06-15T18:00:24Z,31,789,6,"{'default': {'url': 'https://i.ytimg.com/vi/x9DbIQS4MMs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/x9DbIQS4MMs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/x9DbIQS4MMs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/x9DbIQS4MMs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/x9DbIQS4MMs/maxresdefault.jpg', 'width': 1280, 'height': 720}}",https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-256.png
Athletico Paranaense,RBvIe1_2DbI,2024-06-15T16:00:19Z,30,439,0,"{'default': {'url': 'https://i.ytimg.com/vi/RBvIe1_2DbI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RBvIe1_2DbI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RBvIe1_2DbI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/RBvIe1_2DbI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/RBvIe1_2DbI/maxresdefault.jpg', 'width': 1280, 'height': 720}}",https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-256.png
Athletico Paranaense,jAwYxH7VHew,2024-06-15T14:00:39Z,63,1041,4,"{'default': {'url': 'https://i.ytimg.com/vi/jAwYxH7VHew/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/jAwYxH7VHew/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/jAwYxH7VHew/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/jAwYxH7VHew/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/jAwYxH7VHew/maxresdefault.jpg', 'width': 1280, 'height': 720}}",https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-256.png
