title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
CHAMA O VAR ✋(COM RAÍSSA E MANU) | MENINAS CARVOEIRAS,Pm1PvrYN3g8,"O que rola dentro e fora de campo você só assiste aqui na TvTigre 💛🖤

Seja Sócio Carvoeiro Bronze em: www.sociocarvoeiro.com 

#criciúmaec #meninascarvoeiras #futebolfeminino",2024-06-18T17:15:07Z,2024-06-18 18:26:39.272580,2,8,0,"{'default': {'url': 'https://i.ytimg.com/vi/Pm1PvrYN3g8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Pm1PvrYN3g8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Pm1PvrYN3g8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Pm1PvrYN3g8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Pm1PvrYN3g8/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
LUTAR ATÉ O FIM | CRICIÚMA 2x2 BAHIA,njupiw9lb4w,"O que rola dentro e fora de campo você só assiste aqui na TvTigre 💛🖤

Seja Sócio Carvoeiro Bronze em: www.sociocarvoeiro.com 

 #tvtigre #criciúmaec #criciúma",2024-06-17T16:55:49Z,2024-06-18 18:26:39.272580,66,630,6,"{'default': {'url': 'https://i.ytimg.com/vi/njupiw9lb4w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/njupiw9lb4w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/njupiw9lb4w/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/njupiw9lb4w/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/njupiw9lb4w/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
🔴 AO VIVO | ATLETICO GO x CRICIÚMA - 10ª RODADA BRASILEIRÃO 2024 (SEM IMAGENS),OE80ARIwodc,"O que rola dentro e fora de campo você só assiste aqui na TvTigre 💛🖤

Seja Sócio Carvoeiro Bronze em: www.sociocarvoeiro.com 

 #tvtigre #criciúmaec #criciúma",2024-06-17T14:26:00Z,2024-06-18 18:26:39.272580,2,0,0,"{'default': {'url': 'https://i.ytimg.com/vi/OE80ARIwodc/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/OE80ARIwodc/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/OE80ARIwodc/hqdefault_live.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/OE80ARIwodc/sddefault_live.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/OE80ARIwodc/maxresdefault_live.jpg', 'width': 1280, 'height': 720}}"
COLETIVA DE IMPRENSA | ATLÉTICO-GO x CRICIÚMA | BRASILEIRÃO 2024,dln_2zf4lJo,"O que rola dentro e fora de campo você só assiste aqui na TvTigre 💛🖤

Seja um Sócio Carvoeiro! Associe-se em:
http://sociocarvoeiro.com

 #tvtigre #criciúmaec #criciúma",2024-06-17T11:48:33Z,2024-06-18 18:26:39.272580,2,0,0,"{'default': {'url': 'https://i.ytimg.com/vi/dln_2zf4lJo/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dln_2zf4lJo/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dln_2zf4lJo/hqdefault_live.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dln_2zf4lJo/sddefault_live.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dln_2zf4lJo/maxresdefault_live.jpg', 'width': 1280, 'height': 720}}"
CRICIÚMA x BAHIA - 9ª RODADA BRASILEIRÃO 2024 (SEM IMAGENS),vQ-ZTZIF1Uo,"O que rola dentro e fora de campo você só assiste aqui na TvTigre 💛🖤

Seja Sócio Carvoeiro Bronze em: www.sociocarvoeiro.com 

 #tvtigre #criciúmaec #criciúma",2024-06-17T00:20:05Z,2024-06-18 18:26:39.272580,318,22635,0,"{'default': {'url': 'https://i.ytimg.com/vi/vQ-ZTZIF1Uo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vQ-ZTZIF1Uo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vQ-ZTZIF1Uo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/vQ-ZTZIF1Uo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/vQ-ZTZIF1Uo/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
🎙️ TIGRECAST  - EP #15 | FUTEBOL FEMININO - JAZEL E JOSI (ATLETAS) E VINI (PREPARADOR DE GOLEIRAS),kCQV74N0FnA,"O que rola dentro e fora de campo você só assiste aqui na TvTigre 💛🖤

Seja um Sócio Carvoeiro! Associe-se em:
http://sociocarvoeiro.com

 #tvtigre #criciúmaec #tigrecast",2024-06-15T11:04:53Z,2024-06-18 18:26:39.272580,40,416,1,"{'default': {'url': 'https://i.ytimg.com/vi/kCQV74N0FnA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kCQV74N0FnA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kCQV74N0FnA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/kCQV74N0FnA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/kCQV74N0FnA/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
ATHLETICO-PR x CRICIÚMA - 8ª RODADA BRASILEIRÃO 2024 (SEM IMAGENS),jF-BO5Va4KI,"O que rola dentro e fora de campo você só assiste aqui na TvTigre 💛🖤

Seja um Sócio Carvoeiro! Associe-se em:
http://sociocarvoeiro.com

 #tvtigre #criciúmaec #criciúma",2024-06-14T01:36:17Z,2024-06-18 18:26:39.272580,262,19921,2,"{'default': {'url': 'https://i.ytimg.com/vi/jF-BO5Va4KI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/jF-BO5Va4KI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/jF-BO5Va4KI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/jF-BO5Va4KI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/jF-BO5Va4KI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA DE IMPRENSA | CRICIÚMA x CUIABÁ | BRASILEIRÃO 2024,hL1ZCsSDeK0,"O que rola dentro e fora de campo você só assiste aqui na TvTigre 💛🖤

Seja um Sócio Carvoeiro! Associe-se em:
http://sociocarvoeiro.com

 #tvtigre #criciúmaec #criciúma",2024-06-09T21:57:10Z,2024-06-18 18:26:39.272580,76,1482,3,"{'default': {'url': 'https://i.ytimg.com/vi/hL1ZCsSDeK0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hL1ZCsSDeK0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hL1ZCsSDeK0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/hL1ZCsSDeK0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/hL1ZCsSDeK0/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
CRICIÚMA X CUIABÁ- 6ª RODADA BRASILEIRÃO 2024 (SEM IMAGENS),6jT3UoaSJp4,"O que rola dentro e fora de campo você só assiste aqui na TvTigre 💛🖤

Seja um Sócio Carvoeiro! Associe-se em:
http://sociocarvoeiro.com

 #tvtigre #criciúmaec #criciúma",2024-06-09T21:37:55Z,2024-06-18 18:26:39.272580,346,20995,4,"{'default': {'url': 'https://i.ytimg.com/vi/6jT3UoaSJp4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6jT3UoaSJp4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6jT3UoaSJp4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/6jT3UoaSJp4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/6jT3UoaSJp4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
🎙️ TIGRECAST  - EP #14 | PRESIDENTE DO CONSELHO DELIBERATIVO - GUILHERME BÚRIGO,eG_5GAmSKZw,"O que rola dentro e fora de campo você só assiste aqui na TvTigre 💛🖤

Seja um Sócio Carvoeiro! Associe-se em:
http://sociocarvoeiro.com

 #tvtigre #criciúmaec #tigrecast",2024-06-08T10:11:16Z,2024-06-18 18:26:39.272580,29,354,0,"{'default': {'url': 'https://i.ytimg.com/vi/eG_5GAmSKZw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/eG_5GAmSKZw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/eG_5GAmSKZw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/eG_5GAmSKZw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/eG_5GAmSKZw/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
