title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
FLUMINENSE VENCE AMÉRICA-MG E SE GARANTE NA SÉRIE A1 EM 2025,8_WsbDrR-BM,,2024-06-17T21:50:47Z,2024-06-18 18:08:19.151584,672,6205,12,"{'default': {'url': 'https://i.ytimg.com/vi/8_WsbDrR-BM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8_WsbDrR-BM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8_WsbDrR-BM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/8_WsbDrR-BM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/8_WsbDrR-BM/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
FLUTV - COLETIVA - FLUMINENSE 1 x 2 ATLETICO - GO - CAMPEONATO BRASILEIRO 2024,qMicpSe4plM,"Documentário Todo Dia é 4 de Novembro - Fluminense Conquista a América: 

https://globoplay.globo.com/todo-dia-e-4-de-novembro-fluminense-conquista-a-america/t/DpfN7DQmDK/?utm_source=globoplay&utm_medium=mobile_apple_compartilhar

Para ficar por dentro do dia a dia do Fluzão, se inscreva em nosso canal no YouTube e siga o Fluminense nas redes sociais:

Instagram: https://instagram.com/fluminensefc 
Twitter: https://twitter.com/fluminensefc 
Facebook: https://facebook.com/fluminensefc 
TikTok: https://tiktok.com/@fluminensefc

#SejaSócio em https://nense.com.br 



#Fluminense #FluTV",2024-06-16T03:14:42Z,2024-06-18 18:08:19.151584,1646,22161,309,"{'default': {'url': 'https://i.ytimg.com/vi/qMicpSe4plM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qMicpSe4plM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qMicpSe4plM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/qMicpSe4plM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/qMicpSe4plM/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
AO VIVO - FLUMINENSE X ATLÉTICO-GO | CAMPEONATO BRASILEIRO 2024 | 9ª RODADA,3j1zsFOOwdQ,"É #DiaDeFlu e também de Boteco Tricolor!

Antes de a bola rolar para o duelo entre Fluminense e Atlético-GO, pelo jogo da nona rodada do Brasileirão 2024, Alexandre Araújo comanda a resenha a partir das 19h45 aqui no YouTube.

A partida começa às 21h, horário de Brasília.

Para ficar por dentro do dia a dia do Fluzão, se inscreva em nosso canal no YouTube e siga o Fluminense nas redes sociais:

Instagram: https://instagram.com/fluminensefc 
Twitter: https://twitter.com/fluminensefc 
Facebook: https://facebook.com/fluminensefc 
TikTok: https://tiktok.com/@fluminensefc

#SejaSócio em https://nense.com.br",2024-06-16T02:06:50Z,2024-06-18 18:08:19.151584,2523,113213,110,"{'default': {'url': 'https://i.ytimg.com/vi/3j1zsFOOwdQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/3j1zsFOOwdQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/3j1zsFOOwdQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/3j1zsFOOwdQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/3j1zsFOOwdQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
AO VIVO - FLUMINENSE X VASCO | COPA RIO SUB-15 | FINAL | VOLTA,XufOd0whfFY,"Hoje é #DiaDeFlu com os #MlksDeXerém!

O Fluminense encara o Vasco pelo jogo da volta da final da Copa Rio Sub-16, no Estádio Vale das Laranjeiras. 

A partida começa às 10h, horário de Brasília.

Narração: Daniel Kaiser
Comentários: Gerson Júnior
Reportagem: Matheus Mattos

Doações em dinheiro para o RS: http://paraquemdoar.com.br/?ref=flu

Documentário Todo Dia é 4 de Novembro - Fluminense Conquista a América: 

https://globoplay.globo.com/todo-dia-e-4-de-novembro-fluminense-conquista-a-america/t/DpfN7DQmDK/?utm_source=globoplay&utm_medium=mobile_apple_compartilhar

Para ficar por dentro do dia a dia do Fluzão, se inscreva em nosso canal no YouTube e siga o Fluminense nas redes sociais:

Instagram: https://instagram.com/fluminensefc 
Twitter: https://twitter.com/fluminensefc 
Facebook: https://facebook.com/fluminensefc 
TikTok: https://tiktok.com/@fluminensefc

#SejaSócio em https://nense.com.br 


#Fluminense #FluTV",2024-06-15T15:05:14Z,2024-06-18 18:08:19.151584,968,23461,10,"{'default': {'url': 'https://i.ytimg.com/vi/XufOd0whfFY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XufOd0whfFY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XufOd0whfFY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/XufOd0whfFY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/XufOd0whfFY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"MARQUINHOS: ""JOGAR AO LADO DA TORCIDA É UM COMBUSTÍVEL A MAIS PARA GENTE SAIR COM OS TRÊS PONTOS""",rg_61aqV3Ns,"Documentário Todo Dia é 4 de Novembro - Fluminense Conquista a América: 

https://globoplay.globo.com/todo-dia-e-4-de-novembro-fluminense-conquista-a-america/t/DpfN7DQmDK/?utm_source=globoplay&utm_medium=mobile_apple_compartilhar

Para ficar por dentro do dia a dia do Fluzão, se inscreva em nosso canal no YouTube e siga o Fluminense nas redes sociais:

Instagram: https://instagram.com/fluminensefc 
Twitter: https://twitter.com/fluminensefc 
Facebook: https://facebook.com/fluminensefc 
TikTok: https://tiktok.com/@fluminensefc

#SejaSócio em https://nense.com.br 



#Fluminense #FluTV",2024-06-14T22:31:50Z,2024-06-18 18:08:19.151584,801,7979,158,"{'default': {'url': 'https://i.ytimg.com/vi/rg_61aqV3Ns/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rg_61aqV3Ns/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rg_61aqV3Ns/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/rg_61aqV3Ns/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/rg_61aqV3Ns/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
SÓCIOS FAZEM ENSAIO FOTOGRÁFICO PARA CELEBRAR O DIA DOS NAMORADOS,OL0eUBth6B4,"Documentário Todo Dia é 4 de Novembro - Fluminense Conquista a América: 

https://globoplay.globo.com/todo-dia-e-4-de-novembro-fluminense-conquista-a-america/t/DpfN7DQmDK/?utm_source=globoplay&utm_medium=mobile_apple_compartilhar

Para ficar por dentro do dia a dia do Fluzão, se inscreva em nosso canal no YouTube e siga o Fluminense nas redes sociais:

Instagram: https://instagram.com/fluminensefc 
Twitter: https://twitter.com/fluminensefc 
Facebook: https://facebook.com/fluminensefc 
TikTok: https://tiktok.com/@fluminensefc

#SejaSócio em https://nense.com.br 



#Fluminense #FluTV",2024-06-13T01:00:10Z,2024-06-18 18:08:19.151584,385,2467,34,"{'default': {'url': 'https://i.ytimg.com/vi/OL0eUBth6B4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/OL0eUBth6B4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/OL0eUBth6B4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/OL0eUBth6B4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/OL0eUBth6B4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
SUB-18 DO FLU DECIDE VAGA NA FINAL DA COPA MITAD DEL MUNDO NO EQUADOR,nXpeHj1G4kQ,"Reportagem: Claudia Magalhães 
Imagens e edição: Raphael Santos

Documentário Todo Dia é 4 de Novembro - Fluminense Conquista a América: 

https://globoplay.globo.com/todo-dia-e-4-de-novembro-fluminense-conquista-a-america/t/DpfN7DQmDK/?utm_source=globoplay&utm_medium=mobile_apple_compartilhar

Para ficar por dentro do dia a dia do Fluzão, se inscreva em nosso canal no YouTube e siga o Fluminense nas redes sociais:

Instagram: https://instagram.com/fluminensefc 
Twitter: https://twitter.com/fluminensefc 
Facebook: https://facebook.com/fluminensefc 
TikTok: https://tiktok.com/@fluminensefc

#SejaSócio em https://nense.com.br 



#Fluminense #FluTV",2024-06-13T00:33:15Z,2024-06-18 18:08:19.151584,540,6384,19,"{'default': {'url': 'https://i.ytimg.com/vi/nXpeHj1G4kQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nXpeHj1G4kQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nXpeHj1G4kQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/nXpeHj1G4kQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/nXpeHj1G4kQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
FLUTV - COLETIVA - BOTAFOGO 1 x 0 FLUMINENSE - CAMPEONATO BRASILEIRO 2024,AWWynz4S6CQ,"Documentário Todo Dia é 4 de Novembro - Fluminense Conquista a América: 

https://globoplay.globo.com/todo-dia-e-4-de-novembro-fluminense-conquista-a-america/t/DpfN7DQmDK/?utm_source=globoplay&utm_medium=mobile_apple_compartilhar

Para ficar por dentro do dia a dia do Fluzão, se inscreva em nosso canal no YouTube e siga o Fluminense nas redes sociais:

Instagram: https://instagram.com/fluminensefc 
Twitter: https://twitter.com/fluminensefc 
Facebook: https://facebook.com/fluminensefc 
TikTok: https://tiktok.com/@fluminensefc

#SejaSócio em https://nense.com.br 



#Fluminense #FluTV",2024-06-12T02:57:41Z,2024-06-18 18:08:19.151584,1168,13260,531,"{'default': {'url': 'https://i.ytimg.com/vi/AWWynz4S6CQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/AWWynz4S6CQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/AWWynz4S6CQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/AWWynz4S6CQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/AWWynz4S6CQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
AO VIVO - BOTAFOGO X FLUMINENSE | CAMPEONATO BRASILEIRO 2024 | 8ª RODADA,BwgyISIOgGg,"É #DiaDeFlu e também de Boteco Tricolor!

Antes de a bola rolar para o duelo entre Botafogo e Fluminense, pelo jogo da oitava rodada do Brasileirão 2024, Alexandre Araújo comanda a resenha a partir das 18h45 aqui no YouTube.

A partida começa às 20h, horário de Brasília.

Para ficar por dentro do dia a dia do Fluzão, se inscreva em nosso canal no YouTube e siga o Fluminense nas redes sociais:

Instagram: https://instagram.com/fluminensefc 
Twitter: https://twitter.com/fluminensefc 
Facebook: https://facebook.com/fluminensefc 
TikTok: https://tiktok.com/@fluminensefc

#SejaSócio em https://nense.com.br",2024-06-12T01:18:11Z,2024-06-18 18:08:19.151584,2698,159489,57,"{'default': {'url': 'https://i.ytimg.com/vi/BwgyISIOgGg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BwgyISIOgGg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BwgyISIOgGg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/BwgyISIOgGg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/BwgyISIOgGg/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
FLUTV - BASTIDORES - FLUMINENSE 3X0 ONCE CALDAS-COL - QUARTAS DE FINAIS COPA MITAD DEL MUNDO SUB-18,6-5-ryUIUHg,"Imagens e edição: Raphael Santos

Documentário Todo Dia é 4 de Novembro - Fluminense Conquista a América: 

https://globoplay.globo.com/todo-dia-e-4-de-novembro-fluminense-conquista-a-america/t/DpfN7DQmDK/?utm_source=globoplay&utm_medium=mobile_apple_compartilhar

Para ficar por dentro do dia a dia do Fluzão, se inscreva em nosso canal no YouTube e siga o Fluminense nas redes sociais:

Instagram: https://instagram.com/fluminensefc 
Twitter: https://twitter.com/fluminensefc 
Facebook: https://facebook.com/fluminensefc 
TikTok: https://tiktok.com/@fluminensefc

#SejaSócio em https://nense.com.br 



#Fluminense #FluTV",2024-06-11T21:00:01Z,2024-06-18 18:08:19.151584,695,10210,19,"{'default': {'url': 'https://i.ytimg.com/vi/6-5-ryUIUHg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6-5-ryUIUHg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6-5-ryUIUHg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/6-5-ryUIUHg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/6-5-ryUIUHg/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
