title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
AO VIVO - VITÓRIA x GALO | CAMPEONATO BRASILEIRO 🐔🔥,7NcNeS2ehSc,"Hoje Tem Galo! O pré-jogo de Vitória x Galo, pelo Campeonato Brasileiro, traz todas as informações sobre o duelo, com imagens diretas da Arena MRV e muita interação com a Massa. Durante o jogo, tem narração especial, de Atleticano para Atleticano. Acompanhe com a gente!

A live começa às 16h55, com a chegada da delegação do Galo na Arena MRV, escalação do time para o jogo, o clima que antecede a partida, aquecimento dos atletas em campo, e claro, todos os detalhes do jogo, com a bola rolando, em áudio.

#Galotv #BrasileirãoGalotv #GalotvAoVivo 
____________________________________________________________________

👍💭 Curta o vídeo e comente!

🔔 Inscreva-se no canal oficial da GALOTV, ative as notificações e fique por dentro de tudo que acontece no Clube Atlético Mineiro.

____________________________________________________________________

A Galotv é o canal oficial do Clube Atlético Mineiro no YouTube!

Nós acompanhamos o Galo em todos os jogos do Campeonato Mineiro, Campeonato Brasileiro (Brasileirão) e Copa Libertadores, seja na Arena MRV ou fora de casa.

Nossos nossos principais conteúdos são: 

CineCAM: bastidores dos jogos do Galão da Massa

Um dia na vida (acompanhando a rotina dos jogadores do Galo) 

Pré-jogo, narração e pós-jogo das partidas do Clube Atlético Mineiro

Coletivas pós-jogo com o nosso treinador, Gabriel Milito 

Bastidores da viagem (seguindo todos os passos do Galo Doido pelo Brasil, América do Sul e o Mundo)

Transmissão com imagens dos jogos do Galinho (acompanhe as partidas dos Crias do Galo ao vivo)

-

Aqui você curte conteúdos com todos os craques do elenco atual do Atlético-MG, como Hulk, Paulinho, Gustavo Scarpa, Guilherme Arana, Matias Zaracho, Bernard, entre outros, além de ídolos do passado, como Ronaldinho, Victor, Diego Tardelli, Reinaldo e Éder Aleixo.

Inscreva-se!",2024-06-18T16:47:53Z,2024-06-18 17:50:20.824007,2,0,0,"{'default': {'url': 'https://i.ytimg.com/vi/7NcNeS2ehSc/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/7NcNeS2ehSc/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/7NcNeS2ehSc/hqdefault_live.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/7NcNeS2ehSc/sddefault_live.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/7NcNeS2ehSc/maxresdefault_live.jpg', 'width': 1280, 'height': 720}}"
NEM AMARELO NESSA FALTA DO ZÉ RAFAEL NO HULK? 🤔🤔,mz0MyzLZxnk,"Rodrigo Jose Pereira de Lima, juiz de Galo e Palmeiras, não deu nem falta e nem amarelo nesse carrinho do Zé Rafael no Hulk... Foi falta para cartão?

 #Galotv #ShortsGaloTv
____________________________________________________________________

👍💭 Curta o vídeo e comente!

🔔 Inscreva-se no canal oficial da GALOTV, ative as notificações e fique por dentro de tudo que acontece no Clube Atlético Mineiro.

____________________________________________________________________

A Galotv é o canal oficial do Clube Atlético Mineiro no YouTube!

Nós acompanhamos o Galo em todos os jogos do Campeonato Mineiro, Campeonato Brasileiro (Brasileirão) e Copa Libertadores, seja na Arena MRV ou fora de casa.

CineCAM: bastidores dos jogos do Galão da Massa

Um dia na vida (acompanhando a rotina dos jogadores do Galo) 

Galocast: resenha com ídolos e jogadores do Galo e personalidades atleticanas

Pré-jogo, narração e pós-jogo das partidas do Clube Atlético Mineiro

Coletivas pós-jogo com o nosso treinador, Gabriel Milito 

Bastidores da viagem (seguindo todos os passos do Galo Doido pelo mundo)

Transmissão com imagens dos jogos do Galinho (acompanhe as partidas dos Crias do Galo ao vivo)

-

Aqui você curte conteúdos com todos os craques do elenco atual do Atlético-MG, como Hulk, Paulinho, Gustavo Scarpa, Guilherme Arana, Matias Zaracho, Bernard, entre outros, além de ídolos do passado, como Ronaldinho, Victor, Diego Tardelli, Reinaldo e Éder Aleixo.

Inscreva-se!

-

Arena MRV
Arena do Galo
Arena Atlético MG
Arena Atlético Mineiro
Galotv ao vivo
Galo tv ao vivo
Bernard Atlético Mineiro
Bernard Atlético MG
Bernard Galo
Hulk Atlético MG
Hulk Atlético Mineiro
Hulk Galo
Paulinho Atlético MG
Paulinho Atlético Mineiro
Paulinho Galo
Ronaldinho Galo
Ronaldinho Atlético MG
Ronaldinho Atlético Mineiro
Gustavo Scarpa Altético MG
Gustavo Scarpa Galo
Gustavo Scarpa Alético Mineiro
Guilherme Arana Galo
Guilherme Arana Atlético Mineiro
Guilherme Arana Atlético MG",2024-06-18T15:10:08Z,2024-06-18 17:50:20.824007,524,946,39,"{'default': {'url': 'https://i.ytimg.com/vi/mz0MyzLZxnk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/mz0MyzLZxnk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/mz0MyzLZxnk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/mz0MyzLZxnk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/mz0MyzLZxnk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
AO VIVO - GABRIEL MILITO e VICTOR BAGY - ENTREVISTA COLETIVA | GALO x PALMEIRAS 🎙️,XWkBJJNN_sw,"Gabriel Milito concede entrevista coletiva após o duelo do Galo contra o Palmeiras, na Arena MRV, pelo Campeonato Brasileiro!

#Galotv #GalotvAoVivo #MilitoGalotv 
____________________________________________________________________

👍💭 Curta o vídeo e comente!

🔔 Inscreva-se no canal oficial da GALOTV, ative as notificações e fique por dentro de tudo que acontece no Clube Atlético Mineiro.

____________________________________________________________________

A Galotv é o canal oficial do Clube Atlético Mineiro no YouTube!

Nós acompanhamos o Galo em todos os jogos do Campeonato Mineiro, Campeonato Brasileiro (Brasileirão) e Copa Libertadores, seja na Arena MRV ou fora de casa.

Nossos nossos principais conteúdos são: 

CineCAM: bastidores dos jogos do Galão da Massa

Um dia na vida (acompanhando a rotina dos jogadores do Galo) 

Pré-jogo, narração e pós-jogo das partidas do Clube Atlético Mineiro

Coletivas pós-jogo com o nosso treinador, Gabriel Milito 

Bastidores da viagem (seguindo todos os passos do Galo Doido pelo Brasil, América do Sul e o Mundo)

Transmissão com imagens dos jogos do Galinho (acompanhe as partidas dos Crias do Galo ao vivo)

-

Aqui você curte conteúdos com todos os craques do elenco atual do Atlético-MG, como Hulk, Paulinho, Gustavo Scarpa, Guilherme Arana, Matias Zaracho, Bernard, entre outros, além de ídolos do passado, como Ronaldinho, Victor, Diego Tardelli, Reinaldo e Éder Aleixo.

Inscreva-se!",2024-06-18T03:12:38Z,2024-06-18 17:50:20.824007,1413,18806,132,"{'default': {'url': 'https://i.ytimg.com/vi/XWkBJJNN_sw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XWkBJJNN_sw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XWkBJJNN_sw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/XWkBJJNN_sw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/XWkBJJNN_sw/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
AO VIVO - GALO x PALMEIRAS | CAMPEONATO BRASILEIRO 🐔🔥,m_8yis5sFGI,"Hoje Tem Galo! O pré-jogo de Galo x Palmeiras, pelo Campeonato Brasileiro, traz todas as informações sobre o duelo, com imagens diretas da Arena MRV e muita interação com a Massa. Durante o jogo, tem narração especial, de Atleticano para Atleticano. Acompanhe com a gente!

A live começa às 18h55, com a chegada da delegação do Galo na Aren MRV, escalação do time para o jogo, o clima que antecede a partida, aquecimento dos atletas em campo, e claro, todos os detalhes do jogo, com a bola rolando, em áudio.

#Galotv #BrasileirãoGalotv #GalotvAoVivo 
____________________________________________________________________

👍💭 Curta o vídeo e comente!

🔔 Inscreva-se no canal oficial da GALOTV, ative as notificações e fique por dentro de tudo que acontece no Clube Atlético Mineiro.

____________________________________________________________________

A Galotv é o canal oficial do Clube Atlético Mineiro no YouTube!

Nós acompanhamos o Galo em todos os jogos do Campeonato Mineiro, Campeonato Brasileiro (Brasileirão) e Copa Libertadores, seja na Arena MRV ou fora de casa.

Nossos nossos principais conteúdos são: 

CineCAM: bastidores dos jogos do Galão da Massa

Um dia na vida (acompanhando a rotina dos jogadores do Galo) 

Pré-jogo, narração e pós-jogo das partidas do Clube Atlético Mineiro

Coletivas pós-jogo com o nosso treinador, Gabriel Milito 

Bastidores da viagem (seguindo todos os passos do Galo Doido pelo Brasil, América do Sul e o Mundo)

Transmissão com imagens dos jogos do Galinho (acompanhe as partidas dos Crias do Galo ao vivo)

-

Aqui você curte conteúdos com todos os craques do elenco atual do Atlético-MG, como Hulk, Paulinho, Gustavo Scarpa, Guilherme Arana, Matias Zaracho, Bernard, entre outros, além de ídolos do passado, como Ronaldinho, Victor, Diego Tardelli, Reinaldo e Éder Aleixo.

Inscreva-se!",2024-06-18T01:49:02Z,2024-06-18 17:50:20.824007,5708,184356,41,"{'default': {'url': 'https://i.ytimg.com/vi/m_8yis5sFGI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/m_8yis5sFGI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/m_8yis5sFGI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/m_8yis5sFGI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/m_8yis5sFGI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
ENERGIA SURREAL! SE LIGA NA ENTRADA DO GALO EM CAMPO NA ARENA MRV!,5vNcWKhPZvQ,"A massa É FODA! Confira a entrada dos jogadores no campo da Arena MRV para GALO x PALMEIRAS!

#galotv #campeonatobrasileiro #atleticomg #notíciasdoatléticomg #atletico #galo #galoxpalmeiras #CAMxPAL #palmeiras
____________________________________________________________________

👍💭 Curta o vídeo e comente!

🔔 Inscreva-se no canal oficial da GALOTV, ative as notificações e fique por dentro de tudo que acontece no Clube Atlético Mineiro.

____________________________________________________________________

A Galotv é o canal oficial do Clube Atlético Mineiro no YouTube!

Nós acompanhamos o Galo em todos os jogos do Campeonato Mineiro, Campeonato Brasileiro (Brasileirão) e Copa Libertadores, seja na Arena MRV ou fora de casa.

CineCAM: bastidores dos jogos do Galão da Massa

Um dia na vida (acompanhando a rotina dos jogadores do Galo) 

Galocast: resenha com ídolos e jogadores do Galo e personalidades atleticanas

Pré-jogo, narração e pós-jogo das partidas do Clube Atlético Mineiro

Coletivas pós-jogo com o nosso treinador, Gabriel Milito 

Bastidores da viagem (seguindo todos os passos do Galo Doido pelo mundo)

Transmissão com imagens dos jogos do Galinho (acompanhe as partidas dos Crias do Galo ao vivo)

-

Aqui você curte conteúdos com todos os craques do elenco atual do Atlético-MG, como Hulk, Paulinho, Gustavo Scarpa, Guilherme Arana, Matias Zaracho, Bernard, entre outros, além de ídolos do passado, como Ronaldinho, Victor, Diego Tardelli, Reinaldo e Éder Aleixo.

Inscreva-se!

-

Arena MRV
Arena do Galo
Arena Atlético MG
Arena Atlético Mineiro
Galotv ao vivo
Galo tv ao vivo
Bernard Atlético Mineiro
Bernard Atlético MG
Bernard Galo
Hulk Atlético MG
Hulk Atlético Mineiro
Hulk Galo
Paulinho Atlético MG
Paulinho Atlético Mineiro
Paulinho Galo
Ronaldinho Galo
Ronaldinho Atlético MG
Ronaldinho Atlético Mineiro
Gustavo Scarpa Altético MG
Gustavo Scarpa Galo
Gustavo Scarpa Alético Mineiro
Guilherme Arana Galo
Guilherme Arana Atlético Mineiro
Guilherme Arana Atlético MG",2024-06-17T23:34:10Z,2024-06-18 17:50:20.824007,439,3210,21,"{'default': {'url': 'https://i.ytimg.com/vi/5vNcWKhPZvQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/5vNcWKhPZvQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/5vNcWKhPZvQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/5vNcWKhPZvQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/5vNcWKhPZvQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"COM NOVIDADES, GALO CHEGA À ARENA MRV PARA ENFRENTAR O PALMEIRAS!",dO-3XndxLaY,"Encostamos em casa, hein massa? Confira a chegada do nosso time para mais uma partida do campeonato brasileiro!

#galotv #campeonatobrasileiro #atleticomg #notíciasdoatléticomg #atletico #galo #galoxpalmeiras #CAMxPAL #palmeiras
____________________________________________________________________

👍💭 Curta o vídeo e comente!

🔔 Inscreva-se no canal oficial da GALOTV, ative as notificações e fique por dentro de tudo que acontece no Clube Atlético Mineiro.

____________________________________________________________________

A Galotv é o canal oficial do Clube Atlético Mineiro no YouTube!

Nós acompanhamos o Galo em todos os jogos do Campeonato Mineiro, Campeonato Brasileiro (Brasileirão) e Copa Libertadores, seja na Arena MRV ou fora de casa.

CineCAM: bastidores dos jogos do Galão da Massa

Um dia na vida (acompanhando a rotina dos jogadores do Galo) 

Galocast: resenha com ídolos e jogadores do Galo e personalidades atleticanas

Pré-jogo, narração e pós-jogo das partidas do Clube Atlético Mineiro

Coletivas pós-jogo com o nosso treinador, Gabriel Milito 

Bastidores da viagem (seguindo todos os passos do Galo Doido pelo mundo)

Transmissão com imagens dos jogos do Galinho (acompanhe as partidas dos Crias do Galo ao vivo)

-

Aqui você curte conteúdos com todos os craques do elenco atual do Atlético-MG, como Hulk, Paulinho, Gustavo Scarpa, Guilherme Arana, Matias Zaracho, Bernard, entre outros, além de ídolos do passado, como Ronaldinho, Victor, Diego Tardelli, Reinaldo e Éder Aleixo.

Inscreva-se!

-

Arena MRV
Arena do Galo
Arena Atlético MG
Arena Atlético Mineiro
Galotv ao vivo
Galo tv ao vivo
Bernard Atlético Mineiro
Bernard Atlético MG
Bernard Galo
Hulk Atlético MG
Hulk Atlético Mineiro
Hulk Galo
Paulinho Atlético MG
Paulinho Atlético Mineiro
Paulinho Galo
Ronaldinho Galo
Ronaldinho Atlético MG
Ronaldinho Atlético Mineiro
Gustavo Scarpa Altético MG
Gustavo Scarpa Galo
Gustavo Scarpa Alético Mineiro
Guilherme Arana Galo
Guilherme Arana Atlético Mineiro
Guilherme Arana Atlético MG",2024-06-17T23:02:17Z,2024-06-18 17:50:20.824007,415,4186,15,"{'default': {'url': 'https://i.ytimg.com/vi/dO-3XndxLaY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dO-3XndxLaY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dO-3XndxLaY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dO-3XndxLaY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dO-3XndxLaY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"HOJE TEM GALOOOOOOOOOOO x PALMEIRAS, NA ARENA MRV, PELO CAMPEONATO BRASILEIRO!",Li0Yxw3zMwI,"Confira o VESTIÁRIO DO GALO, preparado para o jogo contra o PALMEIRAS!

#galotv #campeonatobrasileiro #atleticomg #notíciasdoatléticomg #atletico #galo #galoxpalmeiras #CAMxPAL #palmeiras
____________________________________________________________________

👍💭 Curta o vídeo e comente!

🔔 Inscreva-se no canal oficial da GALOTV, ative as notificações e fique por dentro de tudo que acontece no Clube Atlético Mineiro.

____________________________________________________________________

A Galotv é o canal oficial do Clube Atlético Mineiro no YouTube!

Nós acompanhamos o Galo em todos os jogos do Campeonato Mineiro, Campeonato Brasileiro (Brasileirão) e Copa Libertadores, seja na Arena MRV ou fora de casa.

CineCAM: bastidores dos jogos do Galão da Massa

Um dia na vida (acompanhando a rotina dos jogadores do Galo) 

Galocast: resenha com ídolos e jogadores do Galo e personalidades atleticanas

Pré-jogo, narração e pós-jogo das partidas do Clube Atlético Mineiro

Coletivas pós-jogo com o nosso treinador, Gabriel Milito 

Bastidores da viagem (seguindo todos os passos do Galo Doido pelo mundo)

Transmissão com imagens dos jogos do Galinho (acompanhe as partidas dos Crias do Galo ao vivo)

-

Aqui você curte conteúdos com todos os craques do elenco atual do Atlético-MG, como Hulk, Paulinho, Gustavo Scarpa, Guilherme Arana, Matias Zaracho, Bernard, entre outros, além de ídolos do passado, como Ronaldinho, Victor, Diego Tardelli, Reinaldo e Éder Aleixo.

Inscreva-se!

-

Arena MRV
Arena do Galo
Arena Atlético MG
Arena Atlético Mineiro
Galotv ao vivo
Galo tv ao vivo
Bernard Atlético Mineiro
Bernard Atlético MG
Bernard Galo
Hulk Atlético MG
Hulk Atlético Mineiro
Hulk Galo
Paulinho Atlético MG
Paulinho Atlético Mineiro
Paulinho Galo
Ronaldinho Galo
Ronaldinho Atlético MG
Ronaldinho Atlético Mineiro
Gustavo Scarpa Altético MG
Gustavo Scarpa Galo
Gustavo Scarpa Alético Mineiro
Guilherme Arana Galo
Guilherme Arana Atlético Mineiro
Guilherme Arana Atlético MG",2024-06-17T22:17:51Z,2024-06-18 17:50:20.824007,307,1590,11,"{'default': {'url': 'https://i.ytimg.com/vi/Li0Yxw3zMwI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Li0Yxw3zMwI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Li0Yxw3zMwI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Li0Yxw3zMwI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Li0Yxw3zMwI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
HULK SUSPENSO? HISTÓRIA INACREDITÁVEL no PORTO!,zIHuRemYg-c,"Hulk fala sobre a suspensão injusta que recebeu quando jogava no Porto!

#Galotv #Galocast #ShortsGalotv #HulkGalotv 
____________________________________________________________________

👍💭 Curta o vídeo e comente!

🔔 Inscreva-se no canal oficial da GALOTV, ative as notificações e fique por dentro de tudo que acontece no Clube Atlético Mineiro.

____________________________________________________________________

A Galotv é o canal oficial do Clube Atlético Mineiro no YouTube!

Nós acompanhamos o Galo em todos os jogos do Campeonato Mineiro, Campeonato Brasileiro (Brasileirão) e Copa Libertadores, seja na Arena MRV ou fora de casa.

Nossos nossos principais conteúdos são: 

CineCAM: bastidores dos jogos do Galão da Massa

Um dia na vida (acompanhando a rotina dos jogadores do Galo) 

Pré-jogo, narração e pós-jogo das partidas do Clube Atlético Mineiro

Coletivas pós-jogo com o nosso treinador, Gabriel Milito 

Bastidores da viagem (seguindo todos os passos do Galo Doido pelo Brasil, América do Sul e o Mundo)

Transmissão com imagens dos jogos do Galinho (acompanhe as partidas dos Crias do Galo ao vivo)

-

Aqui você curte conteúdos com todos os craques do elenco atual do Atlético-MG, como Hulk, Paulinho, Gustavo Scarpa, Guilherme Arana, Matias Zaracho, Bernard, entre outros, além de ídolos do passado, como Ronaldinho, Victor, Diego Tardelli, Reinaldo e Éder Aleixo.

Inscreva-se!",2024-06-17T15:00:52Z,2024-06-18 17:50:20.824007,364,4142,5,"{'default': {'url': 'https://i.ytimg.com/vi/zIHuRemYg-c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zIHuRemYg-c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zIHuRemYg-c/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/zIHuRemYg-c/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/zIHuRemYg-c/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
GABRIEL MILITO TEM a SOLUÇÃO para os DESFALQUES do GALO  💪🧠,eGuWqSQP-yk,"Gabriel Milito já sabe como o Galo tem que se portar diante de tanto de desfalques para o jogo contra o Palmeiras!

#Galotv #MilitoGalotv #ShortsGalotv
____________________________________________________________________

👍💭 Curta o vídeo e comente!

🔔 Inscreva-se no canal oficial da GALOTV, ative as notificações e fique por dentro de tudo que acontece no Clube Atlético Mineiro.

____________________________________________________________________

A Galotv é o canal oficial do Clube Atlético Mineiro no YouTube!

Nós acompanhamos o Galo em todos os jogos do Campeonato Mineiro, Campeonato Brasileiro (Brasileirão) e Copa Libertadores, seja na Arena MRV ou fora de casa.

Nossos nossos principais conteúdos são: 

CineCAM: bastidores dos jogos do Galão da Massa

Um dia na vida (acompanhando a rotina dos jogadores do Galo) 

Pré-jogo, narração e pós-jogo das partidas do Clube Atlético Mineiro

Coletivas pós-jogo com o nosso treinador, Gabriel Milito 

Bastidores da viagem (seguindo todos os passos do Galo Doido pelo Brasil, América do Sul e o Mundo)

Transmissão com imagens dos jogos do Galinho (acompanhe as partidas dos Crias do Galo ao vivo)

-

Aqui você curte conteúdos com todos os craques do elenco atual do Atlético-MG, como Hulk, Paulinho, Gustavo Scarpa, Guilherme Arana, Matias Zaracho, Bernard, entre outros, além de ídolos do passado, como Ronaldinho, Victor, Diego Tardelli, Reinaldo e Éder Aleixo.

Inscreva-se!",2024-06-16T20:00:12Z,2024-06-18 17:50:20.824007,1043,7663,18,"{'default': {'url': 'https://i.ytimg.com/vi/eGuWqSQP-yk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/eGuWqSQP-yk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/eGuWqSQP-yk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/eGuWqSQP-yk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/eGuWqSQP-yk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
MATHEUS MENDES PRONTO e DE OLHO no GALO X PALMEIRAS,WXbnsXekNZE,"Na vaga do Everson, suspenso, Matheus Mendes já está se preparando na Cidade do Galo!

#Galotv #MatheusMendesGaloTv
____________________________________________________________________

👍💭 Curta o vídeo e comente!

🔔 Inscreva-se no canal oficial da GALOTV, ative as notificações e fique por dentro de tudo que acontece no Clube Atlético Mineiro.

____________________________________________________________________

A Galotv é o canal oficial do Clube Atlético Mineiro no YouTube!

Nós acompanhamos o Galo em todos os jogos do Campeonato Mineiro, Campeonato Brasileiro (Brasileirão) e Copa Libertadores, seja na Arena MRV ou fora de casa.

Nossos nossos principais conteúdos são: 

CineCAM: bastidores dos jogos do Galão da Massa

Um dia na vida (acompanhando a rotina dos jogadores do Galo) 

Pré-jogo, narração e pós-jogo das partidas do Clube Atlético Mineiro

Coletivas pós-jogo com o nosso treinador, Gabriel Milito 

Bastidores da viagem (seguindo todos os passos do Galo Doido pelo Brasil, América do Sul e o Mundo)

Transmissão com imagens dos jogos do Galinho (acompanhe as partidas dos Crias do Galo ao vivo)

-

Aqui você curte conteúdos com todos os craques do elenco atual do Atlético-MG, como Hulk, Paulinho, Gustavo Scarpa, Guilherme Arana, Matias Zaracho, Bernard, entre outros, além de ídolos do passado, como Ronaldinho, Victor, Diego Tardelli, Reinaldo e Éder Aleixo.

Inscreva-se!",2024-06-16T17:00:15Z,2024-06-18 17:50:20.824007,1245,10430,53,"{'default': {'url': 'https://i.ytimg.com/vi/WXbnsXekNZE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/WXbnsXekNZE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/WXbnsXekNZE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/WXbnsXekNZE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/WXbnsXekNZE/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
