team_name,video_id,published_date,likes,views,comment
Atlético-MG,xJ1uG3jYJ0c,2024-06-02T23:55:37Z,3913,42283,103
Atlético-MG,DG8d4eS45BI,2024-05-14T00:08:41Z,4806,40294,121
Atlético-MG,kH1fEXIESig,2024-05-07T16:29:02Z,4553,49579,175
Atlético-MG,LytWGssLFhc,2024-05-04T14:05:21Z,7092,62075,307
Atlético-MG,K3jRjogpD2s,2024-05-04T14:05:35Z,5832,55059,186
Atlético-MG,tu167WaQBRI,2024-04-24T22:47:10Z,5276,55857,192
Atlético-MG,vDG2MRSF07o,2024-04-24T22:46:41Z,10763,107054,324
Atlético-MG,5Tzwviop6cQ,2024-04-13T13:58:40Z,4850,50268,151
Atlético-MG,maSI9NpFZd4,2024-04-09T03:24:13Z,16692,157112,883
Atlético-MG,oQbU8BbxuFc,2024-04-08T18:06:27Z,4074,45909,127
Atlético-MG,FbX9unHm3II,2024-03-11T21:36:37Z,3494,56324,82
Atlético-MG,pS7VbCTYD38,2024-03-11T21:38:00Z,3059,43476,105
Atlético-MG,0eqSUmHGBMU,2024-02-19T14:39:26Z,1731,26745,96
Atlético-MG,rul4w8WxZz8,2024-02-16T12:56:52Z,2155,25064,92
Atlético-MG,L3PMwzwfhcM,2024-02-05T17:49:27Z,4026,52251,136
