title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
"ENTREVISTA DE ROGER MACHADO | RED BULL BRAGANTINO 2x1 JUVENTUDE, SÉRIE A",d2EQeSmIFLQ,"O técnico Roger Machado concedeu entrevista coletiva após a partida do Juventude diante do Red Bull Bragantino, em Bragança Paulista. O confronto foi válido pela 9ª rodada do Campeonato Brasileiro.

Comente, curta e compartilhe a entrevista com os amigos Jaconeros. 

Invista na #TVPapo e seja um patrocinador. Entre em contato pelo email tvpapo@juventude.com.br ou pelo telefone (54) 3027-8700.

Instagram: https://instagram.com/ecjuventude 
Twitter: https://twitter.com/ECJuventude
Facebook: https://facebook.com/juventude  
TikTok: https://tiktok.com/@ecjuventude 

#Juventude #ECJ #RogerMachado",2024-06-15T23:59:23Z,2024-06-18 18:22:39.816142,68,554,12,"{'default': {'url': 'https://i.ytimg.com/vi/d2EQeSmIFLQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/d2EQeSmIFLQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/d2EQeSmIFLQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/d2EQeSmIFLQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/d2EQeSmIFLQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
MANDACA ⚽️,QBzDr5fxpms,,2024-06-15T22:18:16Z,2024-06-18 18:22:39.816142,159,9292,6,"{'default': {'url': 'https://i.ytimg.com/vi/QBzDr5fxpms/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/QBzDr5fxpms/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/QBzDr5fxpms/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/QBzDr5fxpms/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/QBzDr5fxpms/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
TRANSMISSÃO COM IMAGENS! JUVENTUDE x MIXTO-MT | BRASILEIRO FEMININO A2,KKDWab9Fv8s,"As #GuriasJaconeras entram em campo em bisca da classificação no Campeonato Brasileiro Série A2. A partida será diante do Mixto-MT, na Montanha dos Vinhedos, em Bento Gonçalves. Vem JUnto com a #TVPapo torcer pelas nossas gurias em busca de mais uma vitória! 

Comente, curta e compartilhe a entrevista com os amigos Jaconeros. 

Invista na #TVPapo e seja um patrocinador. Entre em contato pelo email tvpapo@juventude.com.br ou pelo telefone (54) 3027-8700.

Instagram: https://instagram.com/ecjuventude 
Twitter: https://twitter.com/ECJuventude
Facebook: https://facebook.com/juventude  
TikTok: https://tiktok.com/@ecjuventude 

#Juventude #ECJ",2024-06-15T20:21:06Z,2024-06-18 18:22:39.816142,234,4385,0,"{'default': {'url': 'https://i.ytimg.com/vi/KKDWab9Fv8s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KKDWab9Fv8s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KKDWab9Fv8s/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/KKDWab9Fv8s/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/KKDWab9Fv8s/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"ENTREVISTA DE ROGER MACHADO | JUVENTUDE 1x1 VITÓRIA, SÉRIE A",8aCAn8DMw8Y,"O técnico Roger Machado concedeu entrevista coletiva na sala de imprensa Dante Andreis após o empate do Juventude diante do Vitória-BA pelo placar de 1 a 1. O gol Jaconero foi marcado por Rodrigo Sam, no primeiro tempo. 

Comente, curta e compartilhe a entrevista com os amigos Jaconeros. 

Invista na #TVPapo e seja um patrocinador. Entre em contato pelo email tvpapo@juventude.com.br ou pelo telefone (54) 3027-8700.

Instagram: https://instagram.com/ecjuventude 
Twitter: https://twitter.com/ECJuventude
Facebook: https://facebook.com/juventude  
TikTok: https://tiktok.com/@ecjuventude 

#Juventude #ECJ #RogerMachado",2024-06-12T00:31:52Z,2024-06-18 18:22:39.816142,58,546,9,"{'default': {'url': 'https://i.ytimg.com/vi/8aCAn8DMw8Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8aCAn8DMw8Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8aCAn8DMw8Y/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/8aCAn8DMw8Y/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/8aCAn8DMw8Y/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
RODRIGO SAM ⚽️,kUYwFsvKpNM,,2024-06-11T22:55:19Z,2024-06-18 18:22:39.816142,92,1420,0,"{'default': {'url': 'https://i.ytimg.com/vi/kUYwFsvKpNM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kUYwFsvKpNM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kUYwFsvKpNM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/kUYwFsvKpNM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/kUYwFsvKpNM/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
DESAFIO DO ENTROSAMENTO: ALAN RUSCHEL x JADSON,qgo5mFuOu6s,"Vem conferir esse desafio do Alan Ruschel x Jadson. Uma conversa descontraída entre os jogadores do Juventude. 

Invista na #TVPapo e seja um patrocinador. Entre em contato pelo email tvpapo@juventude.com.br ou pelo telefone (54) 3027-8700.

Instagram: https://instagram.com/ecjuventude 
Twitter: https://twitter.com/ECJuventude
Facebook: https://facebook.com/juventude  
TikTok: https://tiktok.com/@ecjuventude 

#ECJ #Juventude",2024-06-10T23:52:55Z,2024-06-18 18:22:39.816142,349,2083,51,"{'default': {'url': 'https://i.ytimg.com/vi/qgo5mFuOu6s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qgo5mFuOu6s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qgo5mFuOu6s/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/qgo5mFuOu6s/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/qgo5mFuOu6s/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"ENTREVISTA DE ROGER MACHADO | JUVENTUDE 1x0 ATLÉTICO-GO, SÉRIE A",BTNXxvYc31I,"O técnico Roger Machado concedeu entrevista coletiva na sala de imprensa Dante Andreis após a vitória do Juventude sobre o Atlético-GO pelo placar de 1 a 0. O gol Jaconero foi marcado por Lucas Barbosa, no primeiro tempo. 

Comente, curta e compartilhe a entrevista com os amigos Jaconeros. 

Invista na #TVPapo e seja um patrocinador. Entre em contato pelo email tvpapo@juventude.com.br ou pelo telefone (54) 3027-8700.

Instagram: https://instagram.com/ecjuventude 
Twitter: https://twitter.com/ECJuventude
Facebook: https://facebook.com/juventude  
TikTok: https://tiktok.com/@ecjuventude 

#Juventude #ECJ #RogerMachado",2024-06-06T00:38:56Z,2024-06-18 18:22:39.816142,130,904,9,"{'default': {'url': 'https://i.ytimg.com/vi/BTNXxvYc31I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BTNXxvYc31I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BTNXxvYc31I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/BTNXxvYc31I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/BTNXxvYc31I/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
LUCAS BARBOSA ⚽,dJvj5BxeU-Q,,2024-06-05T22:57:32Z,2024-06-18 18:22:39.816142,159,3250,6,"{'default': {'url': 'https://i.ytimg.com/vi/dJvj5BxeU-Q/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dJvj5BxeU-Q/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dJvj5BxeU-Q/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dJvj5BxeU-Q/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dJvj5BxeU-Q/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
💚❤️💛,PeLWQRHBNZA,,2024-06-05T22:17:11Z,2024-06-18 18:22:39.816142,97,748,6,"{'default': {'url': 'https://i.ytimg.com/vi/PeLWQRHBNZA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PeLWQRHBNZA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PeLWQRHBNZA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/PeLWQRHBNZA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/PeLWQRHBNZA/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
HOJE TEM JU 🇳🇬,9U-Fu6Y7Pi8,,2024-06-05T21:32:57Z,2024-06-18 18:22:39.816142,73,753,2,"{'default': {'url': 'https://i.ytimg.com/vi/9U-Fu6Y7Pi8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/9U-Fu6Y7Pi8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/9U-Fu6Y7Pi8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/9U-Fu6Y7Pi8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/9U-Fu6Y7Pi8/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
