title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
BASTIDORES | Red Bull Bragantino 2 x 1 Juventude - Brasileirão 2024,pMM0IEA7kJI,"Com um jogador a menos em campo desde o início do jogo, o Massa Bruta conquistou uma vitória na superação, na noite deste sábado, no Nabizão, pelo Brasileirão: 2 a 1 diante do Juventude, dois gols marcados pelo atacante Helinho. O estádio do Braga também recebeu o #DiaDaYanmar, ativação especial promovida pela YANMAR, patrocinadora premium do Red Bull Bragantino.

Veja, com imagens exclusivas da #MassaBrutaTV, os bastidores da partida. 

Deixe o seu like, comente e inscreva-se no canal, para não perder nenhum conteúdo especial do Red Bull Bragantino.",2024-06-16T21:38:39Z,2024-06-18 18:23:19.683932,51,1279,7,"{'default': {'url': 'https://i.ytimg.com/vi/pMM0IEA7kJI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pMM0IEA7kJI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pMM0IEA7kJI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/pMM0IEA7kJI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/pMM0IEA7kJI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
ENTREVISTA COLETIVA | Pedro Caixinha fala após jogo contra o Juventude,9N0WwNw7Xjk,"Acompanhe AO VIVO a entrevista coletiva do, Pedro Caixinha, após o jogo contra o Juventude pelo Brasileirão 2024

Se inscreva na Massa Bruta TV e ative o sininho 🔔 para não perder nenhum conteúdo!

Siga o Braga nas redes sociais! 👇🏽

Instagram:
https://www.instagram.com/redbullbragantino/

Twitter:
https://twitter.com/RedBullBraga",2024-06-16T12:24:41Z,2024-06-18 18:23:19.683932,57,572,9,"{'default': {'url': 'https://i.ytimg.com/vi/9N0WwNw7Xjk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/9N0WwNw7Xjk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/9N0WwNw7Xjk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/9N0WwNw7Xjk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/9N0WwNw7Xjk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
MELHORES MOMENTOS | Red Bull Bragantino 2x1 Juventude | Brasileirão 2024,mTd6a-irctU,"Na raça, o Braga buscou a vitória diante do Juventude, por 2 a 1, no Nabizão, com dois gols de Helinho. Assista aos melhores momentos da partida com imagens exclusivas da Massa Bruta TV.

Se inscreva no nosso canal, deixe seu like e ative o sininho 🔔 para não perder nenhum conteúdo!

Siga o Braga nas redes sociais! 👇🏽

Instagram:
https://www.instagram.com/redbullbragantino/

Twitter:
https://twitter.com/RedBullBraga

TikTok:
https://www.tiktok.com/@redbullbragantino

Facebook:
https://www.facebook.com/RedBullBragantino

Kwai:
https://kwai-video.com/u/@redbullbragantino/

Linkedin:
https://www.linkedin.com/company/red-bull-bragantino

#RedBullBragantino #VamosBraga #MassaBrutaTV",2024-06-16T00:43:46Z,2024-06-18 18:23:19.683932,41,948,2,"{'default': {'url': 'https://i.ytimg.com/vi/mTd6a-irctU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/mTd6a-irctU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/mTd6a-irctU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/mTd6a-irctU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/mTd6a-irctU/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
BASTIDORES | Santos 0x1 Red Bull Bragantino | Paulistão Feminino,MKLoRc3baG8,"As Bragantinas venceram a primeira no Campeonato Paulista 2024, na partida diante do Santos. Aperte o play e confira os bastidores! ⏯️ 

Deixe seu like, se inscreva no nosso canal e ative o sininho 🔔 para não perder nenhum conteúdo!

Siga o Braga nas redes sociais! 👇🏽

Instagram:
https://www.instagram.com/redbullbragantino/

Twitter:
https://twitter.com/RedBullBraga

TikTok:
https://www.tiktok.com/@redbullbragantino

Facebook:
https://www.facebook.com/RedBullBragantino

Kwai:
https://kwai-video.com/u/@redbullbragantino/

Linkedin:
https://www.linkedin.com/company/red-bull-bragantino

#RedBullBragantino #VamosBraga #MassaBrutaTV",2024-06-13T23:08:51Z,2024-06-18 18:23:19.683932,25,312,4,"{'default': {'url': 'https://i.ytimg.com/vi/MKLoRc3baG8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/MKLoRc3baG8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/MKLoRc3baG8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/MKLoRc3baG8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/MKLoRc3baG8/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Desafio da Yanmar no ar! 🎥😂🚜#RedBullBragantino #Yanmar #Desafio,jRHSpvb4dZ8,,2024-06-13T19:20:56Z,2024-06-18 18:23:19.683932,48,616,2,"{'default': {'url': 'https://i.ytimg.com/vi/jRHSpvb4dZ8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/jRHSpvb4dZ8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/jRHSpvb4dZ8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/jRHSpvb4dZ8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/jRHSpvb4dZ8/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
DESAFIO DA YANMAR | Corrida de tratores no CPD do Red Bull Bragantino!,zceXnup5M8s,"O dia da Yanmar está chegando! Sábado (15), na partida contra o Juventude, no Nabizão, a torcida Massa Bruta viverá a experiência de mais um Dia da Yanmar!

Como aquecimento, os jogadores do Braga se juntaram para um desafio e disputaram corrida com tratores da Yanmar. Quem será que levou a melhor? 

Se inscreva no canal e ative o sininho 🔔 para não perder nenhum conteúdo!

Siga o Braga nas redes sociais! 👇🏽

Instagram:
https://www.instagram.com/redbullbragantino/

Twitter:
https://twitter.com/RedBullBraga

TikTok:
https://www.tiktok.com/@redbullbragantino

Facebook:
https://www.facebook.com/RedBullBragantino

Kwai:
https://kwai-video.com/u/@redbullbragantino/

Linkedin:
https://www.linkedin.com/company/red-bull-bragantino

#RedBullBragantino #VamosBraga #MassaBrutaTV #Yanmar",2024-06-13T19:05:21Z,2024-06-18 18:23:19.683932,44,485,1,"{'default': {'url': 'https://i.ytimg.com/vi/zceXnup5M8s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zceXnup5M8s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zceXnup5M8s/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/zceXnup5M8s/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/zceXnup5M8s/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
ENTREVISTA COLETIVA | Pedro Caixinha fala após jogo contra o Atlético-MG,ru_PtuZCQDA,"Acompanhe AO VIVO a entrevista coletiva do, Pedro Caixinha, após o jogo contra o Galo pelo Brasileirão 2024

Se inscreva na Massa Bruta TV e ative o sininho 🔔 para não perder nenhum conteúdo!

Siga o Braga nas redes sociais! 👇🏽

Instagram:
https://www.instagram.com/redbullbragantino/

Twitter:
https://twitter.com/RedBullBraga",2024-06-12T15:23:01Z,2024-06-18 18:23:19.683932,67,1723,16,"{'default': {'url': 'https://i.ytimg.com/vi/ru_PtuZCQDA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ru_PtuZCQDA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ru_PtuZCQDA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ru_PtuZCQDA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ru_PtuZCQDA/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
⚽️🎯 GOLAÇO! Lucas Evangelista abre o placar para o Massa Bruta contra o Galo.,t5FK7YYeJAA,,2024-06-12T01:01:17Z,2024-06-18 18:23:19.683932,53,2644,5,"{'default': {'url': 'https://i.ytimg.com/vi/t5FK7YYeJAA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/t5FK7YYeJAA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/t5FK7YYeJAA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/t5FK7YYeJAA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/t5FK7YYeJAA/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
BASTIDORES | Red Bull Bragantino 2 x 1 Botafogo-RJ | Brasileirão Feminino,_K5ZkY3xjRA,"As Bragantinas venceram mais uma no Brasileirão Feminino 2024. Com dois gols da argentina Paulina, o Braga garantiu mais três pontos e chegou aos 19 na tabela. Confira os bastidores dessa vitória! ⏯️ 

Deixe seu like, se inscreva no nosso canal e ative o sininho 🔔 para não perder nenhum conteúdo!

Siga o Braga nas redes sociais! 👇🏽

Instagram:
https://www.instagram.com/redbullbragantino/

Twitter:
https://twitter.com/RedBullBraga

TikTok:
https://www.tiktok.com/@redbullbragantino

Facebook:
https://www.facebook.com/RedBullBragantino

Kwai:
https://kwai-video.com/u/@redbullbragantino/

Linkedin:
https://www.linkedin.com/company/red-bull-bragantino

#RedBullBragantino #VamosBraga #MassaBrutaTV",2024-06-10T21:44:07Z,2024-06-18 18:23:19.683932,29,596,0,"{'default': {'url': 'https://i.ytimg.com/vi/_K5ZkY3xjRA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_K5ZkY3xjRA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_K5ZkY3xjRA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/_K5ZkY3xjRA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/_K5ZkY3xjRA/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
POV: Você está no gramado e o Mister passa por você! 🤜🤛 #redbullbragantino #futebol #futebol,8Vdpa-4KS_Y,,2024-06-10T15:58:17Z,2024-06-18 18:23:19.683932,298,7134,3,"{'default': {'url': 'https://i.ytimg.com/vi/8Vdpa-4KS_Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8Vdpa-4KS_Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8Vdpa-4KS_Y/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/8Vdpa-4KS_Y/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/8Vdpa-4KS_Y/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
