title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
VASCO x FLAMENGO  | FINAL COPA RIO SUB17 - JOGO 2 | AO VIVO,dG8008brg6I,"Inscreva-se na #VascoTV.

Seja um Sócio Gigante: http://sociogigante.com

Siga o Vasco nas redes sociais:

𝕀𝕟𝕤𝕥𝕒𝕘𝕣𝕒𝕞: https://www.instagram.com/vascodagama
𝕋𝕚𝕜𝕋𝕠𝕜: https://www.tiktok.com/@vasco
𝕋𝕨𝕚𝕥𝕥𝕖𝕣: https://twitter.com/VascodaGama
𝔽𝕒𝕔𝕖𝕓𝕠𝕠𝕜: https://www.facebook.com/VascodaGama

#Vasco",2024-06-17T20:41:11Z,2024-06-18 18:06:34.827449,5182,108648,118,"{'default': {'url': 'https://i.ytimg.com/vi/dG8008brg6I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dG8008brg6I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dG8008brg6I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dG8008brg6I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dG8008brg6I/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
TREINO 17.6 | VASCOTV,t900-371Kyc,"Fechado com o Vascão? Vem com a Betfair! Bônus de até R$300 pra você começar com tudo! 💢

➡️ https://promotions.betfair.com/prs/sports-br-vasco-r300-zbivas
 
⚠️ 18+. Jogue com responsabilidade. T&Cs se aplicam.

______________

Inscreva-se na #VascoTV.

Seja um Sócio Gigante: http://sociogigante.com

Siga o Vasco nas redes sociais:

𝕀𝕟𝕤𝕥𝕒𝕘𝕣𝕒𝕞: https://www.instagram.com/vascodagama
𝕋𝕚𝕜𝕋𝕠𝕜: https://www.tiktok.com/@vasco
𝕋𝕨𝕚𝕥𝕥𝕖𝕣: https://twitter.com/VascodaGama
𝔽𝕒𝕔𝕖𝕓𝕠𝕠𝕜: https://www.facebook.com/VascodaGama

#Vasco",2024-06-17T19:10:58Z,2024-06-18 18:06:34.827449,1104,9424,110,"{'default': {'url': 'https://i.ytimg.com/vi/t900-371Kyc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/t900-371Kyc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/t900-371Kyc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/t900-371Kyc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/t900-371Kyc/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
BASTIDORES VASCO CAMPEÃO COPA RIO SUB -15 | VASCOTV,4OOue6HJyxY,"Inscreva-se na #VascoTV.

Seja um Sócio Gigante: http://sociogigante.com

Siga o Vasco nas redes sociais:

𝕀𝕟𝕤𝕥𝕒𝕘𝕣𝕒𝕞: https://www.instagram.com/vascodagama
𝕋𝕚𝕜𝕋𝕠𝕜: https://www.tiktok.com/@vasco
𝕋𝕨𝕚𝕥𝕥𝕖𝕣: https://twitter.com/VascodaGama
𝔽𝕒𝕔𝕖𝕓𝕠𝕠𝕜: https://www.facebook.com/VascodaGama

#Vasco",2024-06-17T12:10:31Z,2024-06-18 18:06:34.827449,543,3761,29,"{'default': {'url': 'https://i.ytimg.com/vi/4OOue6HJyxY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4OOue6HJyxY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4OOue6HJyxY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4OOue6HJyxY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4OOue6HJyxY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
ENTREVISTA COLETIVA  - VASCO x CRUZEIRO | AO VIVO - VASCOTV,qRdBOq1XQlQ,"Fechado com o Vascão? Vem com a Betfair! Bônus de até R$300 pra você começar com tudo! 💢

➡️ https://promotions.betfair.com/prs/sports-br-vasco-r300-zbivas
 
⚠️ 18+. Jogue com responsabilidade. T&Cs se aplicam.

______________

Inscreva-se na #VascoTV.

Seja um Sócio Gigante: http://sociogigante.com

Siga o Vasco nas redes sociais:

𝕀𝕟𝕤𝕥𝕒𝕘𝕣𝕒𝕞: https://www.instagram.com/vascodagama
𝕋𝕚𝕜𝕋𝕠𝕜: https://www.tiktok.com/@vasco
𝕋𝕨𝕚𝕥𝕥𝕖𝕣: https://twitter.com/VascodaGama
𝔽𝕒𝕔𝕖𝕓𝕠𝕠𝕜: https://www.facebook.com/VascodaGama

#Vasco",2024-06-17T00:42:32Z,2024-06-18 18:06:34.827449,1398,13186,116,"{'default': {'url': 'https://i.ytimg.com/vi/qRdBOq1XQlQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qRdBOq1XQlQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qRdBOq1XQlQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/qRdBOq1XQlQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/qRdBOq1XQlQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
AO VIVO |  VASCO x CRUZEIRO  | CAMPEONATO BRASILEIRO - 9ª RODADA,gofJhZcjAq0,"Fechado com o Vascão? Vem com a Betfair! Bônus de até R$300 pra você começar com tudo! 💢

➡️ https://promotions.betfair.com/prs/sports-br-vasco-r300-zbivas
 
⚠️ 18+. Jogue com responsabilidade. T&Cs se aplicam.

______________

Inscreva-se na #VascoTV.

Seja um Sócio Gigante: http://sociogigante.com

Siga o Vasco nas redes sociais:

𝕀𝕟𝕤𝕥𝕒𝕘𝕣𝕒𝕞: https://www.instagram.com/vascodagama
𝕋𝕚𝕜𝕋𝕠𝕜: https://www.tiktok.com/@vasco
𝕋𝕨𝕚𝕥𝕥𝕖𝕣: https://twitter.com/VascodaGama
𝔽𝕒𝕔𝕖𝕓𝕠𝕠𝕜: https://www.facebook.com/VascodaGama

#Vasco",2024-06-16T23:50:39Z,2024-06-18 18:06:34.827449,5974,252637,29,"{'default': {'url': 'https://i.ytimg.com/vi/gofJhZcjAq0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gofJhZcjAq0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gofJhZcjAq0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/gofJhZcjAq0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/gofJhZcjAq0/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
TREINO 15.6 | VASCOTV,RIyEI_nVknc,"Fechado com o Vascão? Vem com a Betfair! Bônus de até R$300 pra você começar com tudo! 💢

➡️ https://promotions.betfair.com/prs/sports-br-vasco-r300-zbivas
 
⚠️ 18+. Jogue com responsabilidade. T&Cs se aplicam.

______________

Inscreva-se na #VascoTV.

Seja um Sócio Gigante: http://sociogigante.com

Siga o Vasco nas redes sociais:

𝕀𝕟𝕤𝕥𝕒𝕘𝕣𝕒𝕞: https://www.instagram.com/vascodagama
𝕋𝕚𝕜𝕋𝕠𝕜: https://www.tiktok.com/@vasco
𝕋𝕨𝕚𝕥𝕥𝕖𝕣: https://twitter.com/VascodaGama
𝔽𝕒𝕔𝕖𝕓𝕠𝕠𝕜: https://www.facebook.com/VascodaGama

#Vasco",2024-06-15T16:55:35Z,2024-06-18 18:06:34.827449,809,10655,170,"{'default': {'url': 'https://i.ytimg.com/vi/RIyEI_nVknc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RIyEI_nVknc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RIyEI_nVknc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/RIyEI_nVknc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/RIyEI_nVknc/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
MELHORES MOMENTOS VASCO CAMPEÃO COPA RIO SUB-15,cgbBtXU2diE,"Inscreva-se na #VascoTV.

Seja um Sócio Gigante: http://sociogigante.com

Siga o Vasco nas redes sociais:

𝕀𝕟𝕤𝕥𝕒𝕘𝕣𝕒𝕞: https://www.instagram.com/vascodagama
𝕋𝕚𝕜𝕋𝕠𝕜: https://www.tiktok.com/@vasco
𝕋𝕨𝕚𝕥𝕥𝕖𝕣: https://twitter.com/VascodaGama
𝔽𝕒𝕔𝕖𝕓𝕠𝕠𝕜: https://www.facebook.com/VascodaGama

#Vasco",2024-06-15T15:23:27Z,2024-06-18 18:06:34.827449,1262,21021,61,"{'default': {'url': 'https://i.ytimg.com/vi/cgbBtXU2diE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cgbBtXU2diE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cgbBtXU2diE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/cgbBtXU2diE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/cgbBtXU2diE/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
AO VIVO - FLUMINENSE x VASCO | COPA RIO SUB15 - FINAL (VOLTA),udHDKu8ru8Y,"Inscreva-se na #VascoTV.

Seja um Sócio Gigante: http://sociogigante.com

Siga o Vasco nas redes sociais:

𝕀𝕟𝕤𝕥𝕒𝕘𝕣𝕒𝕞: https://www.instagram.com/vascodagama
𝕋𝕚𝕜𝕋𝕠𝕜: https://www.tiktok.com/@vasco
𝕋𝕨𝕚𝕥𝕥𝕖𝕣: https://twitter.com/VascodaGama
𝔽𝕒𝕔𝕖𝕓𝕠𝕠𝕜: https://www.facebook.com/VascodaGama

#Vasco",2024-06-15T15:17:54Z,2024-06-18 18:06:34.827449,2248,53451,18,"{'default': {'url': 'https://i.ytimg.com/vi/udHDKu8ru8Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/udHDKu8ru8Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/udHDKu8ru8Y/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/udHDKu8ru8Y/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/udHDKu8ru8Y/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
DIA MUNDIAL DO DOADOR DE SANGUE | VASCOTV,WtrCS01BTeg,"Inscreva-se na #VascoTV.

Seja um Sócio Gigante: http://sociogigante.com

Siga o Vasco nas redes sociais:

𝕀𝕟𝕤𝕥𝕒𝕘𝕣𝕒𝕞: https://www.instagram.com/vascodagama
𝕋𝕚𝕜𝕋𝕠𝕜: https://www.tiktok.com/@vasco
𝕋𝕨𝕚𝕥𝕥𝕖𝕣: https://twitter.com/VascodaGama
𝔽𝕒𝕔𝕖𝕓𝕠𝕠𝕜: https://www.facebook.com/VascodaGama

#Vasco",2024-06-15T00:07:25Z,2024-06-18 18:06:34.827449,454,2108,64,"{'default': {'url': 'https://i.ytimg.com/vi/WtrCS01BTeg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/WtrCS01BTeg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/WtrCS01BTeg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/WtrCS01BTeg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/WtrCS01BTeg/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA ÁLVARO PACHECO | VASCOTV,4poGM1ViaFE,,2024-06-14T04:24:32Z,2024-06-18 18:06:34.827449,1310,18635,369,"{'default': {'url': 'https://i.ytimg.com/vi/4poGM1ViaFE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4poGM1ViaFE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4poGM1ViaFE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4poGM1ViaFE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4poGM1ViaFE/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
