title,video_id,video_description,published_date,extraction_date,likes,views,thumbnail
BASTIDORES |  EC VITÓRIA 2 X 1 INTERNACIONAL | 16.06.2024,hO2MqPkpUl8,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br",2024-06-17T20:01:29Z,2024-06-18 18:18:34.156639,2262,15289,"{'default': {'url': 'https://i.ytimg.com/vi/hO2MqPkpUl8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hO2MqPkpUl8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hO2MqPkpUl8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/hO2MqPkpUl8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/hO2MqPkpUl8/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
CORREDOR RUBRO-NEGRO | PRÉ JOGO VITÓRIA X INTERNACIONAL | 16.06.24,dbP5mQXjIO4,,2024-06-17T14:00:26Z,2024-06-18 18:18:34.156639,227,1464,"{'default': {'url': 'https://i.ytimg.com/vi/dbP5mQXjIO4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dbP5mQXjIO4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dbP5mQXjIO4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dbP5mQXjIO4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dbP5mQXjIO4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"""O VITÓRIA É PRA QUEM ACREDITA!!!"" - WAGNER LEONARDO DECIDE E LEÃO VENCE A PRIMEIRA NA SÉRIE A",2s1xTx8g_Cs,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br",2024-06-17T13:00:06Z,2024-06-18 18:18:34.156639,300,1673,"{'default': {'url': 'https://i.ytimg.com/vi/2s1xTx8g_Cs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2s1xTx8g_Cs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2s1xTx8g_Cs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/2s1xTx8g_Cs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/2s1xTx8g_Cs/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
Coletiva | Thiago Carpini | 16.06.2024,e5ECuplxecg,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br",2024-06-16T23:03:26Z,2024-06-18 18:18:34.156639,1990,28254,"{'default': {'url': 'https://i.ytimg.com/vi/e5ECuplxecg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/e5ECuplxecg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/e5ECuplxecg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/e5ECuplxecg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/e5ECuplxecg/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
VITÓRIA X INTERNACIONAL | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,lHbb6RgYBZQ,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br",2024-06-16T21:37:14Z,2024-06-18 18:18:34.156639,1338,34580,"{'default': {'url': 'https://i.ytimg.com/vi/lHbb6RgYBZQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lHbb6RgYBZQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lHbb6RgYBZQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/lHbb6RgYBZQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/lHbb6RgYBZQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
BAHIA X VITÓRIA | AO VIVO COM IMAGEM | CAMPEONATO BAIANO #SUB20,zHMRiqJbFWk,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br

BAHIA X VITÓRIA | AO VIVO COM IMAGEM | CAMPEONATO BAIANO #SUB20",2024-06-16T15:27:30Z,2024-06-18 18:18:34.156639,494,9447,"{'default': {'url': 'https://i.ytimg.com/vi/zHMRiqJbFWk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zHMRiqJbFWk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zHMRiqJbFWk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/zHMRiqJbFWk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/zHMRiqJbFWk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
VITÓRIA X ATLÉTICO-MG | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,lmkIozXg7m8,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br

VITÓRIA X ATLÉTICO-MG | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024",2024-06-15T19:46:33Z,2024-06-18 18:18:34.156639,29,0,"{'default': {'url': 'https://i.ytimg.com/vi/lmkIozXg7m8/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lmkIozXg7m8/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lmkIozXg7m8/hqdefault_live.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/lmkIozXg7m8/sddefault_live.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/lmkIozXg7m8/maxresdefault_live.jpg', 'width': 1280, 'height': 720}}"
RESENHA COLOSSAL | #19,HkWG-qcRx1g,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br",2024-06-15T10:42:43Z,2024-06-18 18:18:34.156639,241,1378,"{'default': {'url': 'https://i.ytimg.com/vi/HkWG-qcRx1g/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/HkWG-qcRx1g/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/HkWG-qcRx1g/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/HkWG-qcRx1g/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/HkWG-qcRx1g/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA | Léo Naldi | 14.06.2024,ywCmLdNQyrg,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br",2024-06-14T17:28:42Z,2024-06-18 18:18:34.156639,349,3214,"{'default': {'url': 'https://i.ytimg.com/vi/ywCmLdNQyrg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ywCmLdNQyrg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ywCmLdNQyrg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ywCmLdNQyrg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ywCmLdNQyrg/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
GOLS - ITABUNA 1 X 1 DEMOCRATA | BRASILEIRÃO SERIE D,QbZNblY_uDU,"Inscreva-se no canal da TV Vitória e ative o sininho para não perder nenhum conteúdo.
--
Cadastre-se na Betsat - Ganhe 50% de cashback na Vitória do Leão:
https://bit.ly/cadastrobetsat

Adquira a nova camisa do Vitória com a Volt:
www.lojasounego.com.br",2024-06-14T00:20:29Z,2024-06-18 18:18:34.156639,136,1436,"{'default': {'url': 'https://i.ytimg.com/vi/QbZNblY_uDU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/QbZNblY_uDU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/QbZNblY_uDU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/QbZNblY_uDU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/QbZNblY_uDU/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
